nr_slice	rho	gamma	lambda
0	1.3	-396.237625	300.468173
1	1.335897435897436	-426.834173	318.262381
2	1.3717948717948718	-459.126659	353.751344
3	1.4076923076923078	-493.899519	397.092487
4	1.4435897435897436	-531.432637	440.836406
5	1.4794871794871796	-571.417121	474.467590
6	1.5153846153846153	-612.589035	488.537313
7	1.5512820512820513	-653.244760	497.670178
8	1.5871794871794873	-694.196401	530.318814
9	1.623076923076923	-737.837370	601.580709
10	1.658974358974359	-787.148964	718.968123
11	1.694871794871795	-845.572691	879.554485
12	1.7307692307692308	-915.602075	1079.212451
13	1.7666666666666668	-999.984320	1323.698577
14	1.8025641025641028	-1101.906953	1623.679347
15	1.8384615384615386	-1225.478398	2008.071277
16	1.8743589743589744	-1377.815082	2524.787002
17	1.9102564102564104	-1569.575780	3239.005128
18	1.9461538461538463	-1816.740356	4243.104207
19	1.9820512820512821	-2142.469447	5601.254896
20	2.017948717948718	-2570.783552	6833.798935
21	2.053846153846154	-3054.429855	3132.614156
22	2.08974358974359	-2927.396609	-22015.823612
23	2.1256410256410256	205.785962	-41522.932358
24	2.161538461538462	3021.217435	-19834.119209
25	2.1974358974358976	2918.067991	3657.368133
26	2.2333333333333334	2352.987573	6284.751748
27	2.269230769230769	1888.968237	4868.739624
28	2.3051282051282054	1542.223266	3550.808435
29	2.341025641025641	1279.039498	2616.455754
30	2.3769230769230774	1075.412671	1942.233080
31	2.412820512820513	915.982161	1434.270323
32	2.448717948717949	790.594757	1056.205615
33	2.4846153846153847	689.312089	798.081299
34	2.5205128205128204	603.762622	636.569354
35	2.5564102564102567	527.761406	526.270378
36	2.5923076923076924	459.831348	414.081406
37	2.6282051282051286	401.406086	302.927967
38	2.6641025641025644	350.208665	228.661545
39	2.7	302.545034	202.127706
