nr_slice	rho	gamma	lambda
0	1.3	-468.381978	-115.563751
1	1.335897435897436	-471.888855	-149.328706
2	1.3717948717948718	-468.142934	-167.350924
3	1.4076923076923078	-466.631478	-98.892782
4	1.4435897435897436	-470.577699	-13.885809
5	1.4794871794871796	-479.432665	63.927309
6	1.5153846153846153	-492.902658	140.487946
7	1.5512820512820513	-511.209145	214.359451
8	1.5871794871794873	-533.788923	272.263640
9	1.623076923076923	-558.890148	300.548137
10	1.658974358974359	-583.928580	293.363261
11	1.694871794871795	-606.275244	262.775297
12	1.7307692307692308	-625.075414	224.117141
13	1.7666666666666668	-639.923783	183.171310
14	1.8025641025641028	-650.822616	149.314589
15	1.8384615384615386	-658.738019	136.489769
16	1.8743589743589744	-665.684909	153.737086
17	1.9102564102564104	-673.907727	201.296502
18	1.9461538461538463	-685.405148	274.885491
19	1.9820512820512821	-701.730611	369.224827
20	2.017948717948718	-724.029767	481.778234
21	2.053846153846154	-753.380991	602.256551
22	2.08974358974359	-789.317306	710.859629
23	2.1256410256410256	-829.969938	793.743276
24	2.161538461538462	-872.834774	842.927807
25	2.1974358974358976	-914.895124	867.941343
26	2.2333333333333334	-955.068470	900.359488
27	2.269230769230769	-994.861167	960.640731
28	2.3051282051282054	-1035.964518	1019.357803
29	2.341025641025641	-1075.425761	980.956231
30	2.3769230769230774	-1101.244819	695.606748
31	2.412820512820513	-1089.760595	36.810497
32	2.448717948717949	-1013.032002	-1141.410347
33	2.4846153846153847	-830.036440	-2899.680988
34	2.5205128205128204	-510.659507	-4365.167284
35	2.5564102564102567	-147.078859	-4429.204668
36	2.5923076923076924	137.668271	-3655.229463
37	2.6282051282051286	347.166356	-3086.173266
38	2.6641025641025644	508.943537	-2615.543883
39	2.7	607.406339	-2467.803102
