slice	rho_of_slice	gamma	lambda
0	1.3	-1453.793673	797.157161
1	1.335897435897436	-1519.320868	746.201276
2	1.3717948717948718	-1573.530248	588.618515
3	1.4076923076923078	-1612.369830	449.305625
4	1.4435897435897436	-1642.563600	414.348162
5	1.4794871794871796	-1672.479827	473.504079
6	1.5153846153846153	-1707.332748	592.631651
7	1.5512820512820513	-1750.499887	733.757438
8	1.5871794871794873	-1801.635881	857.691058
9	1.623076923076923	-1858.422216	949.153072
10	1.658974358974359	-1918.294090	1005.502803
11	1.694871794871795	-1978.555491	1020.632846
12	1.7307692307692308	-2035.793600	1017.558032
13	1.7666666666666668	-2090.687950	1041.292854
14	1.8025641025641028	-2146.280540	1105.436897
15	1.8384615384615386	-2205.118538	1206.153207
16	1.8743589743589744	-2269.593790	1344.303372
17	1.9102564102564104	-2342.259817	1523.791653
18	1.9461538461538463	-2425.923049	1747.645031
19	1.9820512820512821	-2523.390474	2014.202050
20	2.017948717948718	-2637.019843	2320.175862
21	2.053846153846154	-2768.921682	2660.683516
22	2.08974358974359	-2920.505318	3025.573072
23	2.1256410256410256	-3092.171853	3417.552674
24	2.161538461538462	-3285.482027	3862.889446
25	2.1974358974358976	-3504.287598	4406.571481
26	2.2333333333333334	-3756.121869	5121.393679
27	2.269230769230769	-4054.513836	6104.390520
28	2.3051282051282054	-4419.659718	7473.934276
29	2.341025641025641	-4880.148738	9416.828089
30	2.3769230769230774	-5480.099725	11853.848292
31	2.412820512820513	-6232.094292	13153.778080
32	2.448717948717949	-6942.542304	7450.733711
33	2.4846153846153847	-6793.191432	-16828.688944
34	2.5205128205128204	-3994.075535	-51966.243658
35	2.5564102564102567	995.994036	-56593.798041
36	2.5923076923076924	4017.952564	-27474.629326
37	2.6282051282051286	4512.328069	-3478.330024
38	2.6641025641025644	3997.262237	4882.016938
39	2.7	3303.932403	6396.580558
