slice	rho_of_slice	gamma	lambda
0	1.8	-694.634451	1695.606732
1	1.8315789473684212	-803.148032	1864.282889
2	1.8631578947368421	-930.381997	1719.995132
3	1.8947368421052633	-1017.187719	-715.541508
4	1.9263157894736842	-832.638620	-7189.460621
5	1.9578947368421054	-100.055246	-11523.013548
6	1.9894736842105263	623.559396	-7684.002119
7	2.0210526315789474	857.337631	-1913.949034
8	2.0526315789473686	843.968583	513.565981
9	2.0842105263157893	767.827019	1067.329856
10	2.1157894736842104	683.222317	1116.569572
11	2.1473684210526316	600.410431	1044.866445
12	2.1789473684210527	524.961631	913.173062
13	2.2105263157894735	459.183109	763.448929
14	2.2421052631578946	403.154450	618.623504
15	2.2736842105263158	356.167094	487.839816
16	2.305263157894737	317.061106	377.387255
17	2.336842105263158	284.282875	290.766263
18	2.3684210526315788	256.224442	219.713701
19	2.4	232.402044	184.693923
