nr_slice	rho	gamma	lambda
0	1.8	307.617441	435.288674
1	1.8315789473684212	282.882928	411.883902
2	1.8631578947368421	259.134210	382.895806
3	1.8947368421052633	236.385854	354.572341
4	1.9263157894736842	214.804525	324.793024
5	1.9578947368421054	194.644788	293.352994
6	1.9894736842105263	176.069687	260.999121
7	2.0210526315789474	159.209346	229.150047
8	2.0526315789473686	144.015984	199.498001
9	2.0842105263157893	130.377863	171.922586
10	2.1157894736842104	118.238169	145.690264
11	2.1473684210526316	107.553120	120.736063
12	2.1789473684210527	98.249892	96.756943
13	2.2105263157894735	90.300638	74.872782
14	2.2421052631578946	83.465799	57.749600
15	2.2736842105263158	77.369882	46.129676
16	2.305263157894737	71.685067	38.807493
17	2.336842105263158	66.200850	33.400864
18	2.3684210526315788	60.902456	28.292922
19	2.4	55.778983	24.706645
