slice	rho_of_slice	gamma	lambda
0	1.8	245.771608	353.634198
1	1.8315789473684212	226.037403	304.281241
2	1.8631578947368421	210.806286	256.932130
3	1.8947368421052633	195.577304	261.390006
4	1.9263157894736842	178.500850	275.463334
5	1.9578947368421054	160.420007	274.336585
6	1.9894736842105263	142.631673	256.428334
7	2.0210526315789474	126.162990	227.945804
8	2.0526315789473686	111.489894	194.134929
9	2.0842105263157893	98.935609	157.484085
10	2.1157894736842104	88.615005	122.306379
11	2.1473684210526316	80.260868	92.042143
12	2.1789473684210527	73.525437	65.775368
13	2.2105263157894735	68.239768	43.028423
14	2.2421052631578946	64.093581	25.782248
15	2.2736842105263158	60.658288	14.948632
16	2.305263157894737	57.516293	11.152770
17	2.336842105263158	54.179798	13.738429
18	2.3684210526315788	50.356836	20.743700
19	2.4	45.845952	24.748645
