slice	rho_of_slice	gamma	lambda
0	1.3	-317.193931	125.665933
1	1.335897435897436	-335.324602	127.822372
2	1.3717948717948718	-352.784259	134.517958
3	1.4076923076923078	-370.842050	156.116552
4	1.4435897435897436	-390.355544	188.319418
5	1.4794871794871796	-411.982302	226.327977
6	1.5153846153846153	-435.879382	264.948689
7	1.5512820512820513	-461.930260	300.004276
8	1.5871794871794873	-489.660583	330.347500
9	1.623076923076923	-518.756909	366.434830
10	1.658974358974359	-550.223246	419.854695
11	1.694871794871795	-585.396378	496.109762
12	1.7307692307692308	-626.042418	603.187380
13	1.7666666666666668	-674.596418	751.395924
14	1.8025641025641028	-734.227070	953.050480
15	1.8384615384615386	-809.019095	1228.133803
16	1.8743589743589744	-904.834637	1612.226561
17	1.9102564102564104	-1030.602387	2163.303778
18	1.9461538461538463	-1200.095055	2961.412537
19	1.9820512820512821	-1433.070150	4095.005162
20	2.017948717948718	-1754.955211	5570.292409
21	2.053846153846154	-2184.848894	6704.131465
22	2.08974358974359	-2648.288757	3153.679998
23	2.1256410256410256	-2542.107366	-15530.110677
24	2.161538461538462	-316.105922	-31373.649225
25	2.1974358974358976	1972.789142	-18225.028875
26	2.2333333333333334	2195.027569	335.167501
27	2.269230769230769	1796.394606	4756.915475
28	2.3051282051282054	1396.333865	4145.145679
29	2.341025641025641	1101.912630	2858.418966
30	2.3769230769230774	899.314328	1842.246679
31	2.412820512820513	759.322753	1157.883999
32	2.448717948717949	660.275256	728.606445
33	2.4846153846153847	584.836361	503.283080
34	2.5205128205128204	519.616982	418.074096
35	2.5564102564102567	457.421539	378.922202
36	2.5923076923076924	399.032426	312.192656
37	2.6282051282051286	347.690696	213.387980
38	2.6641025641025644	304.254143	116.992574
39	2.7	266.590796	68.983026
