nr_slice	rho	gamma	lambda
0	1.5	-460.042285	154.064986
1	1.528205128205128	-474.376849	165.849900
2	1.5564102564102564	-489.106661	175.722620
3	1.5846153846153845	-503.601761	176.145532
4	1.6128205128205129	-517.393042	176.799520
5	1.641025641025641	-530.936714	185.958715
6	1.6692307692307693	-544.701878	204.345141
7	1.6974358974358974	-559.226633	232.985871
8	1.7256410256410257	-575.092140	273.376740
9	1.7538461538461538	-592.996362	327.119437
10	1.7820512820512822	-613.686905	394.155239
11	1.8102564102564103	-637.834412	473.781577
12	1.8384615384615386	-666.080128	566.556695
13	1.8666666666666667	-699.124198	674.729859
14	1.8948717948717948	-737.820772	801.338146
15	1.9230769230769231	-783.162046	947.328300
16	1.9512820512820515	-836.046309	1103.321027
17	1.9794871794871796	-896.334138	1248.220476
18	2.0076923076923077	-962.477674	1355.178761
19	2.0358974358974358	-1031.269020	1395.459644
20	2.0641025641025643	-1097.928086	1362.166023
21	2.0923076923076924	-1158.547163	1292.196804
22	2.1205128205128205	-1212.607200	1242.146339
23	2.148717948717949	-1262.614682	1253.217598
24	2.176923076923077	-1312.627443	1341.531910
25	2.2051282051282053	-1366.807360	1507.726980
26	2.2333333333333334	-1429.057975	1718.809245
27	2.2615384615384615	-1499.534549	1652.328967
28	2.2897435897435896	-1545.583337	77.281626
29	2.317948717948718	-1430.000732	-5003.858677
30	2.3461538461538463	-902.807805	-13117.251982
31	2.3743589743589744	102.110665	-17253.878453
32	2.402564102564103	1033.161929	-12818.597933
33	2.430769230769231	1469.385240	-5723.496358
34	2.458974358974359	1559.096722	-1272.034373
35	2.4871794871794872	1475.260690	994.220400
36	2.5153846153846153	1305.093701	2052.914700
37	2.5435897435897434	1106.328441	2277.419948
38	2.571794871794872	920.082671	1941.592625
39	2.6	769.418420	1698.537408
