nr_slice	rho	gamma	lambda
0	1.3	-3924.647699	2750.872029
1	1.335897435897436	-4118.977847	2797.811587
2	1.3717948717948718	-4309.013268	2720.784612
3	1.4076923076923078	-4480.951319	2426.695488
4	1.4435897435897436	-4617.335148	1995.583436
5	1.4794871794871796	-4716.244526	1716.506447
6	1.5153846153846153	-4801.978589	1729.424854
7	1.5512820512820513	-4892.439809	1940.658537
8	1.5871794871794873	-4998.120666	2228.629283
9	1.623076923076923	-5119.141982	2464.667629
10	1.658974358974359	-5247.389086	2584.664474
11	1.694871794871795	-5373.874290	2575.800076
12	1.7307692307692308	-5488.825993	2467.396572
13	1.7666666666666668	-5587.744278	2396.301551
14	1.8025641025641028	-5680.687719	2456.282981
15	1.8384615384615386	-5776.334327	2625.004172
16	1.8743589743589744	-5881.216759	2885.849348
17	1.9102564102564104	-6001.322457	3229.029790
18	1.9461538461538463	-6141.443083	3612.895985
19	1.9820512820512821	-6301.251432	3986.590730
20	2.017948717948718	-6478.078247	4333.022317
21	2.053846153846154	-6669.077733	4679.678082
22	2.08974358974359	-6875.479147	5075.674141
23	2.1256410256410256	-7101.253647	5557.666589
24	2.161538461538462	-7352.487947	6165.453968
25	2.1974358974358976	-7638.287005	6948.851505
26	2.2333333333333334	-7971.052252	7984.624610
27	2.269230769230769	-8369.745399	9410.524586
28	2.3051282051282054	-8864.791091	11312.122835
29	2.341025641025641	-9484.660030	13581.095469
30	2.3769230769230774	-10241.054975	16272.327508
31	2.412820512820513	-11167.709486	19829.046155
32	2.448717948717949	-12335.294255	24951.393087
33	2.4846153846153847	-13869.640535	32420.241638
34	2.5205128205128204	-15938.795892	41783.133643
35	2.5564102564102567	-18581.661971	37772.767379
36	2.5923076923076924	-19757.427858	-51489.381824
37	2.6282051282051286	-9358.980961	-196047.296906
38	2.6641025641025644	9304.883922	-162087.299490
39	2.7	12848.199618	-60434.518972
