slice	rho_of_slice	gamma	lambda
0	1.3	-610.005049	287.497540
1	1.323076923076923	-656.731944	36.718001
2	1.3461538461538463	-679.095821	-736.592213
3	1.3692307692307693	-650.643574	-2083.467177
4	1.3923076923076925	-540.549686	-3829.023332
5	1.4153846153846155	-337.074948	-5279.937630
6	1.4384615384615385	-74.064003	-5641.180393
7	1.4615384615384617	182.967743	-4738.053078
8	1.4846153846153847	379.198487	-3140.495529
9	1.5076923076923077	498.998209	-1585.926477
10	1.5307692307692309	555.995974	-444.367259
11	1.5538461538461539	570.641311	258.033202
12	1.576923076923077	560.798050	631.219240
13	1.6	538.036307	803.924407
14	1.623076923076923	509.036415	863.809138
15	1.6461538461538463	477.616908	860.989199
16	1.6692307692307693	445.983831	824.509604
17	1.6923076923076925	415.331002	771.683947
18	1.7153846153846155	386.272869	711.964523
19	1.7384615384615385	359.113966	650.308280
20	1.7615384615384617	333.985124	590.187111
21	1.7846153846153847	310.841654	533.961830
22	1.807692307692308	289.567081	482.378827
23	1.830769230769231	270.020765	436.188975
24	1.853846153846154	251.993006	395.643755
25	1.8769230769230771	235.299110	360.097391
26	1.9000000000000001	219.771847	328.889445
27	1.9230769230769234	205.273472	301.510718
28	1.9461538461538463	191.672176	277.564257
29	1.9692307692307693	178.857386	255.695109
30	1.9923076923076923	166.814720	234.438850
31	2.0153846153846153	155.561256	213.605593
32	2.0384615384615388	145.092342	193.609286
33	2.0615384615384618	135.379385	174.830196
34	2.0846153846153848	126.375969	157.328883
35	2.1076923076923078	118.042154	140.867987
36	2.130769230769231	110.347913	125.442485
37	2.153846153846154	103.248555	111.058249
38	2.176923076923077	96.709335	97.402435
39	2.2	90.710282	89.900491
