nr_slice	rho	gamma	lambda
0	1.3	-226.358937	179.590265
1	1.323076923076923	-243.110325	216.595576
2	1.3461538461538463	-263.194329	298.493867
3	1.3692307692307693	-287.580094	358.252486
4	1.3923076923076925	-313.423517	213.189156
5	1.4153846153846155	-324.608525	-45.622150
6	1.4384615384615385	-325.847146	-195.452193
7	1.4615384615384617	-322.047627	-628.231504
8	1.4846153846153847	-282.028618	-626.332508
9	1.5076923076923077	-275.612762	215.599547
10	1.5307692307692309	-312.121886	533.985140
11	1.5538461538461539	-335.534894	-169.261445
12	1.576923076923077	-306.963608	-660.066715
13	1.6	-283.290568	-218.086493
14	1.623076923076923	-294.091041	383.642324
15	1.6461538461538463	-325.524786	813.650864
16	1.6692307692307693	-375.985689	1314.651848
17	1.6923076923076925	-453.846059	1853.030739
18	1.7153846153846155	-554.385152	1946.282725
19	1.7384615384615385	-641.167992	966.552582
20	1.7615384615384617	-650.953246	-1803.185899
21	1.7846153846153847	-480.657554	-6076.182612
22	1.807692307692308	-93.351307	-8300.316959
23	1.830769230769231	285.084245	-5870.110914
24	1.853846153846154	449.103023	-1803.757403
25	1.8769230769230771	451.515440	496.882603
26	1.9000000000000001	402.119666	1037.503227
27	1.9230769230769234	353.783142	883.167529
28	1.9461538461538463	317.982735	620.630531
29	1.9692307692307693	293.320811	397.398629
30	1.9923076923076923	277.593971	208.914454
31	2.0153846153846153	269.778794	38.745752
32	2.0384615384615388	269.139982	-76.122525
33	2.0615384615384618	271.195085	-39.590396
34	2.0846153846153848	266.385361	151.160938
35	2.1076923076923078	250.187293	338.652276
36	2.130769230769231	227.753685	409.082597
37	2.153846153846154	204.995828	393.105067
38	2.176923076923077	184.092462	351.518170
39	2.2	165.271001	330.255000
