nr_slice	rho	gamma	lambda
0	1.3	-161.694463	91.959882
1	1.323076923076923	-171.660025	111.462804
2	1.3461538461538463	-183.333692	151.875462
3	1.3692307692307693	-197.014424	178.562402
4	1.3923076923076925	-211.206629	124.896206
5	1.4153846153846155	-219.946701	73.025216
6	1.4384615384615385	-229.013774	138.396161
7	1.4615384615384617	-243.471575	7.020495
8	1.4846153846153847	-240.302886	-233.014865
9	1.5076923076923077	-231.649644	-38.830251
10	1.5307692307692309	-245.315075	279.559994
11	1.5538461538461539	-265.874547	153.664860
12	1.576923076923077	-267.899841	-177.176563
13	1.6	-257.237536	-142.883683
14	1.623076923076923	-261.436565	216.419822
15	1.6461538461538463	-283.413493	592.577548
16	1.6692307692307693	-322.193488	991.822347
17	1.6923076923076925	-381.102592	1409.929001
18	1.7153846153846155	-458.698177	1698.446996
19	1.7384615384615385	-544.429095	1736.728780
20	1.7615384615384617	-625.463443	1193.810902
21	1.7846153846153847	-660.531889	-1352.934487
22	1.807692307692308	-505.228347	-6903.504446
23	1.830769230769231	-25.637010	-9810.714852
24	1.853846153846154	400.290681	-5716.667577
25	1.8769230769230771	501.932762	-609.450792
26	1.9000000000000001	455.173038	1212.482705
27	1.9230769230769234	387.622646	1277.129637
28	1.9461538461538463	334.240643	938.640399
29	1.9692307692307693	297.449599	621.169737
30	1.9923076923076923	272.929536	394.743628
31	2.0153846153846153	256.585742	243.103966
32	2.0384615384615388	245.580984	156.345865
33	2.0615384615384618	236.731148	151.506585
34	2.0846153846153848	225.661299	221.207844
35	2.1076923076923078	209.968591	296.967199
36	2.130769230769231	191.685899	318.776436
37	2.153846153846154	173.918508	296.019533
38	2.176923076923077	157.745563	265.720395
39	2.2	142.812822	253.058722
