nr_slice	rho	gamma	lambda
0	1.5	467.015236	-1605.271792
1	1.5128205128205128	516.380005	-1240.669273
2	1.5256410256410255	547.712320	-606.114890
3	1.5384615384615385	564.587565	-117.937316
4	1.5512820512820513	570.498199	237.671395
5	1.564102564102564	568.459353	485.668073
6	1.5769230769230769	560.798050	652.925576
7	1.5897435897435896	549.232317	761.093169
8	1.6025641025641026	535.033925	826.523633
9	1.6153846153846154	519.119202	861.262614
10	1.6282051282051282	502.165943	873.683661
11	1.641025641025641	484.676207	869.948367
12	1.6538461538461537	467.020988	854.766889
13	1.6666666666666667	449.465831	831.868585
14	1.6794871794871795	432.192563	803.901120
15	1.6923076923076923	415.331002	772.723393
16	1.705128205128205	398.966501	739.684544
17	1.717948717948718	383.157689	705.621007
18	1.7307692307692308	367.944599	671.124428
19	1.7435897435897436	353.352885	636.705834
20	1.7564102564102564	339.393641	603.025963
21	1.7692307692307692	326.055845	570.650179
22	1.782051282051282	313.318754	539.697533
23	1.794871794871795	301.162509	510.104684
24	1.8076923076923077	289.567081	481.927800
25	1.8205128205128205	278.507367	455.450207
26	1.8333333333333333	267.946589	430.896750
27	1.8461538461538463	257.846042	408.142166
28	1.858974358974359	248.173501	386.922316
29	1.8717948717948718	238.902145	367.175626
30	1.8846153846153846	230.001420	348.884556
31	1.8974358974358974	221.444073	331.853170
32	1.9102564102564101	213.208411	315.937723
33	1.9230769230769231	205.273472	301.172621
34	1.935897435897436	197.614821	287.554218
35	1.9487179487179487	190.210834	274.922407
36	1.9615384615384615	183.044538	262.887854
37	1.9743589743589745	176.113600	251.010213
38	1.9871794871794872	169.422918	239.168148
39	2.0	162.975635	232.188907
