sim	folder	gamma	lambda
0	d0.7_t0.5_time10000_gamma-0.5	0.5681872988337755	-16.50868988183111
1	d0.7_t0.5_time10000_gamma-0.5	1.8826024632007705	-15.224675538138918
2	d0.9_t0.09_time10000_gamma-0.5	18.800204376972957	-53.05432023784003
3	d0.9_t0.09_time10000_gamma-0.5	20.814570414576263	-49.208506980621294
4	d0.9_t0.08_time10000_gamma-0.5	24.367800393103273	-45.717012434780585
5	d0.9_t0.08_time10000_gamma-0.5	26.848127028500546	-41.445532695247365
6	d0.7_t0.7_time10000_gamma-0.5	-4.89898361746209	-15.05143812544015
7	d0.7_t0.7_time10000_gamma-0.5	-2.8799789734581385	-13.87077373685829
8	d0.7_t0.3_time10000_gamma-0.5	9.667362096848155	-16.059465814655645
9	d0.7_t0.3_time10000_gamma-0.5	10.459133856070764	-14.64099203254818
10	d0.9_t0.15_time10000_gamma-0.5	16.711321249430757	-41.18152417147181
11	d0.9_t0.15_time10000_gamma-0.5	17.922189756550182	-37.628020734481325
12	d0.7_t0.2_time10000_gamma-0.5	9.079632301140974	-19.30309371544932
13	d0.7_t0.2_time10000_gamma-0.5	9.705633672215846	-17.739808740188348
14	d0.9_t0.07_time10000_gamma-0.5	26.3135148153792	-51.79034326261923
15	d0.9_t0.07_time10000_gamma-0.5	28.32474682309501	-47.95951726814695
16	d0.8_t0.07_time10000_gamma-0.5	31.295796721712883	-47.32112091644557
17	d0.8_t0.07_time10000_gamma-0.5	34.64820480073429	-42.5411012194175
18	d0.8_t0.2_time10000_gamma-0.5	6.08370209518022	-25.676914787943044
19	d0.8_t0.2_time10000_gamma-0.5	7.513489603275725	-23.822415172608796
20	d0.8_t0.3_time10000_gamma-0.5	3.7390036871696477	-22.71281931985736
21	d0.8_t0.3_time10000_gamma-0.5	5.115187206188613	-20.925672650273384
22	d0.8_t0.5_time10000_gamma-0.5	-12.82684176306427	-23.451820454803027
23	d0.8_t0.5_time10000_gamma-0.5	-10.457192819275274	-21.864448369905958
24	d0.8_t0.7_time10000_gamma-0.5	-12.573608429539004	-20.734398553052166
25	d0.8_t0.7_time10000_gamma-0.5	-10.123699031038598	-19.242385251496177
26	d0.7_t0.07_time10000_gamma-0.5	22.831242090931095	-40.92347396509835
27	d0.7_t0.07_time10000_gamma-0.5	22.796642001916904	-36.19187064975452
28	d0.8_t0.15_time10000_gamma-0.5	7.8946799351175905	-28.16992125217004
29	d0.8_t0.15_time10000_gamma-0.5	9.292598847679812	-26.21548320142063
30	d0.9_t0.5_time10000_gamma-0.5	-9.494909240295819	-30.9849440479867
31	d0.9_t0.5_time10000_gamma-0.5	-5.627720273584764	-28.23817049014773
32	d0.7_t0.08_time10000_gamma-0.5	14.522216479833002	-40.878298600869684
33	d0.7_t0.08_time10000_gamma-0.5	15.936309006055122	-38.32724085009161
34	d0.9_t0.7_time10000_gamma-0.5	31.9664368154127	-35.32675818870008
35	d0.9_t0.7_time10000_gamma-0.5	37.080434532159984	-31.639871980356087
36	d0.7_t0.09_time10000_gamma-0.5	13.161714244494199	-34.419323903473774
37	d0.7_t0.09_time10000_gamma-0.5	14.483144884848084	-32.274563979458065
38	d0.8_t0.08_time10000_gamma-0.5	23.28146704173057	-43.953220352205264
39	d0.8_t0.08_time10000_gamma-0.5	26.06668559269761	-41.64722667448479
40	d0.8_t0.09_time10000_gamma-0.5	19.003046955758514	-35.05905653538806
41	d0.8_t0.09_time10000_gamma-0.5	20.658943784107507	-31.609622557223936
42	d0.9_t0.3_time10000_gamma-0.5	-1.498674581895452	-38.557386464717496
43	d0.9_t0.3_time10000_gamma-0.5	1.471168668600436	-34.94310226021023
44	d0.7_t0.15_time10000_gamma-0.5	9.029535584563904	-24.163909203177507
45	d0.7_t0.15_time10000_gamma-0.5	10.240380624683397	-22.31865741052342
46	d0.9_t0.2_time10000_gamma-0.5	10.021599422877907	-39.712879491880585
47	d0.9_t0.2_time10000_gamma-0.5	10.913036083696722	-36.60731219935728
