sim	folder	gamma	lambda
0	d0.9_t0.09_time500000_gamma-0.5	56.356599	232.931735
1	d0.9_t0.09_time500000_gamma-0.5	31.092576	37.044061
2	d0.9_t0.09_time500000_gamma-0.5	23.399992	3.974179
3	d0.9_t0.09_time500000_gamma-0.5	21.185367	-3.856097
4	d0.9_t0.09_time500000_gamma-0.5	23.038269	-4.083613
5	d0.9_t0.09_time500000_gamma-0.5	25.714567	-4.223243
6	d0.9_t0.09_time500000_gamma-0.5	29.758240	-4.326496
7	d0.9_t0.09_time500000_gamma-0.5	34.068174	-5.238080
8	d0.9_t0.09_time500000_gamma-0.5	37.096075	-7.303991
9	d0.9_t0.09_time500000_gamma-0.5	37.502343	-10.347704
