sim	folder	gamma	lambda
sim	folder	gamma	lambda
0	d0.9_t0.09_time500000_gamma-0.5	63.765083	227.643162
1	d0.9_t0.09_time500000_gamma-0.5	32.901506	33.977208
2	d0.9_t0.09_time500000_gamma-0.5	23.820596	0.675979
3	d0.9_t0.09_time500000_gamma-0.5	21.330082	-7.173836
4	d0.9_t0.09_time500000_gamma-0.5	23.287227	-7.472885
5	d0.9_t0.09_time500000_gamma-0.5	25.469520	-8.057423
6	d0.9_t0.09_time500000_gamma-0.5	30.085528	-7.728366
7	d0.9_t0.09_time500000_gamma-0.5	36.126579	-7.905452
8	d0.9_t0.09_time500000_gamma-0.5	41.560620	-9.528025
9	d0.9_t0.09_time500000_gamma-0.5	46.161335	-12.373856
