slice	rho_of_slice   gamma	            lambda
0	    1.2	                -127312.910345	-16555718.544337
1	    1.3444444444444443	-88632.526306	-2846604.924668
2	    1.488888888888889	-28135.445543	-741558.839011
3	    1.6333333333333333	1151.236835	    715.346279
4	    1.7777777777777777	1010.654777	    -83.726961
5	    1.9222222222222223	1221.567612	    377.339046
6	    2.0666666666666664	3440.586733	    -14.161171
7	    2.2111111111111112	6465.776610	    -321.902208
8	    2.3555555555555556	5354.401631	    -1239.312872
9	    2.5	                3338.960811	    -1648.590460
