slice	rho_of_slice	gamma	lambda
0	1.4	67.368082	58.991148
1	1.4684210526315788	64.989632	20.856590
2	1.5368421052631578	69.181090	-2.067149
3	1.6052631578947367	71.232143	16.972707
4	1.6736842105263157	68.230337	32.862655
5	1.7421052631578946	63.672065	28.830244
6	1.8105263157894738	59.774071	16.024520
7	1.8789473684210527	57.066156	2.589844
8	1.9473684210526316	55.412256	-9.879916
9	2.015789473684211	54.764322	-21.269689
10	2.0842105263157897	54.834624	-29.803605
11	2.1526315789473687	54.985546	-34.241290
12	2.2210526315789476	54.531255	-34.303548
13	2.2894736842105265	52.753054	-31.559859
14	2.3578947368421055	49.462433	-27.342278
15	2.4263157894736844	44.360563	-23.202885
16	2.4947368421052634	37.803977	-26.988633
17	2.5631578947368423	31.637784	-42.180735
18	2.6315789473684212	26.432601	-45.102494
19	2.7	16.426919	-41.359172
