nr_slice	rho	gamma	lambda
0	1.4	-9.578795	-24.466093
1	1.4142857142857141	-9.889047	-25.378068
2	1.4285714285714284	-10.080608	-27.095180
3	1.4428571428571428	-10.224873	-27.112161
4	1.457142857142857	-10.350216	-26.529096
5	1.4714285714285713	-10.466263	-25.799017
6	1.4857142857142855	-10.575548	-25.077560
7	1.5	-10.678526	-24.406770
8	1.5142857142857142	-10.775005	-23.795570
9	1.5285714285714285	-10.864620	-23.225525
10	1.5428571428571427	-10.947949	-22.631349
11	1.5571428571428572	-11.028149	-21.832450
12	1.5714285714285714	-11.116015	-20.677384
13	1.5857142857142856	-11.223478	-19.206218
14	1.5999999999999999	-11.359138	-17.682688
15	1.6142857142857143	-11.519801	-16.385092
16	1.6285714285714286	-11.697800	-15.368809
17	1.6428571428571428	-11.886357	-14.599539
18	1.657142857142857	-12.079432	-14.051941
19	1.6714285714285713	-12.271436	-13.724261
20	1.6857142857142857	-12.456221	-13.633097
21	1.7	-12.627076	-13.677653
22	1.7142857142857142	-12.783464	-13.682457
23	1.7285714285714286	-12.928673	-13.514821
24	1.7428571428571429	-13.069774	-13.094702
25	1.7571428571428571	-13.214683	-12.449462
26	1.7714285714285714	-13.368943	-11.762118
27	1.7857142857142856	-13.529989	-11.203758
28	1.8	-13.693486	-10.809440
29	1.8142857142857143	-13.854772	-10.587334
30	1.8285714285714285	-14.008962	-10.526366
31	1.842857142857143	-14.151973	-10.577967
32	1.8571428571428572	-14.281673	-10.717011
33	1.8714285714285714	-14.395414	-11.000355
34	1.8857142857142857	-14.487829	-11.469039
35	1.9	-14.553961	-12.092758
36	1.9142857142857141	-14.590243	-12.829592
37	1.9285714285714286	-14.594207	-13.600929
38	1.9428571428571428	-14.566881	-14.338170
39	1.9571428571428573	-14.509810	-15.030202
40	1.9714285714285715	-14.424746	-15.654647
41	1.9857142857142858	-14.314596	-16.173932
42	2.0	-14.183329	-16.573131
43	2.0142857142857142	-14.034750	-16.868254
44	2.0285714285714285	-13.871938	-17.084170
45	2.0428571428571427	-13.697294	-17.231111
46	2.057142857142857	-13.513320	-17.301767
47	2.0714285714285716	-13.322830	-17.210928
48	2.085714285714286	-13.133176	-16.851599
49	2.1	-12.953168	-16.517852
