nr_slice	rho	gamma	lambda
0	1.3	-265.377622	-302.916960
1	1.323076923076923	-254.995909	-286.903526
2	1.3461538461538463	-245.501922	-261.911977
3	1.3692307692307693	-236.906981	-237.972808
4	1.3923076923076925	-229.163311	-215.610310
5	1.4153846153846155	-222.224842	-194.487373
6	1.4384615384615385	-216.067252	-174.287510
7	1.4615384615384617	-210.666998	-155.147388
8	1.4846153846153847	-205.981149	-137.505193
9	1.5076923076923077	-201.940250	-121.693139
10	1.5307692307692309	-198.465981	-107.661753
11	1.5538461538461539	-195.489554	-95.137868
12	1.576923076923077	-192.954610	-83.787070
13	1.6	-190.820522	-73.280984
14	1.623076923076923	-189.058944	-63.398296
15	1.6461538461538463	-187.647667	-54.035017
16	1.6692307692307693	-186.566187	-45.193262
17	1.6923076923076925	-185.790579	-36.913445
18	1.7153846153846155	-185.295266	-29.166502
19	1.7384615384615385	-185.057799	-21.882832
20	1.7615384615384617	-185.057940	-15.006929
21	1.7846153846153847	-185.277403	-8.523141
22	1.807692307692308	-185.696544	-2.399939
23	1.830769230769231	-186.299257	3.459361
24	1.853846153846154	-187.074127	9.143994
25	1.8769230769230771	-188.012568	14.728463
26	1.9000000000000001	-189.109303	20.307751
27	1.9230769230769234	-190.363722	25.979489
28	1.9461538461538463	-191.778644	31.835305
29	1.9692307692307693	-193.360882	38.007543
30	1.9923076923076923	-195.124276	44.647105
31	2.0153846153846153	-197.088057	51.853743
32	2.0384615384615388	-199.273406	59.715967
33	2.0615384615384618	-201.705615	68.339983
34	2.0846153846153848	-204.413201	77.746236
35	2.1076923076923078	-207.420522	87.908341
36	2.130769230769231	-210.750787	98.867833
37	2.153846153846154	-214.429099	110.739183
38	2.176923076923077	-218.485773	123.694852
39	2.2	-222.957809	132.957917
