slice	rho_of_slice	gamma	lambda
0	1.3	-726.521360	31.482410
1	1.323076923076923	-728.625066	16.950572
2	1.3461538461538463	-728.750307	-11.926920
3	1.3692307692307693	-727.580935	-24.582995
4	1.3923076923076925	-725.957324	-18.983807
5	1.4153846153846155	-724.744792	5.585115
6	1.4384615384615385	-724.840415	48.731938
7	1.4615384615384617	-727.060988	106.521948
8	1.4846153846153847	-731.926163	173.485012
9	1.5076923076923077	-739.735121	244.589937
10	1.5307692307692309	-750.531959	316.118484
11	1.5538461538461539	-764.264267	384.996037
12	1.576923076923077	-780.685552	448.268228
13	1.6	-799.467273	504.443637
14	1.623076923076923	-820.224127	552.272034
15	1.6461538461538463	-842.513151	590.758482
16	1.6692307692307693	-865.860509	617.533630
17	1.6923076923076925	-889.609859	628.645114
18	1.7153846153846155	-912.932768	627.200304
19	1.7384615384615385	-935.475262	622.442030
20	1.7615384615384617	-957.269306	619.655532
21	1.7846153846153847	-978.448141	621.040768
22	1.807692307692308	-999.243570	626.637932
23	1.830769230769231	-1019.786319	634.345754
24	1.853846153846154	-1040.109717	642.984313
25	1.8769230769230771	-1060.233057	652.340333
26	1.9000000000000001	-1080.167597	662.414302
27	1.9230769230769234	-1099.930282	674.712203
28	1.9461538461538463	-1119.668604	693.311033
29	1.9692307692307693	-1139.769131	722.624646
30	1.9923076923076923	-1160.772467	766.337438
31	2.0153846153846153	-1183.384829	828.288381
32	2.0384615384615388	-1208.473381	912.370924
33	2.0615384615384618	-1237.067740	1023.026326
34	2.0846153846153848	-1270.399770	1166.023711
35	2.1076923076923078	-1309.974655	1348.608963
36	2.130769230769231	-1357.620508	1580.068050
37	2.153846153846154	-1415.607655	1872.933410
38	2.176923076923077	-1486.802682	2244.045704
39	2.2	-1574.876344	2481.694114
