nr_simulation	folder	gamma	lambda
0	d0.76_t0.11_time500000_gamma-0.5	4.537998	-18.592692
1	d0.86_t0.11_time500000_gamma-0.5	7.058665	-25.463071
2	d0.9_t0.11_time500000_gamma-0.5	7.622227	-28.441113
3	d0.8_t0.11_time500000_gamma-0.5	5.709359	-20.948672
4	d0.72_t0.11_time500000_gamma-0.5	4.334210	-16.426633
5	d0.82_t0.11_time500000_gamma-0.5	6.019143	-22.600074
6	d0.78_t0.11_time500000_gamma-0.5	5.327002	-19.785750
7	d0.74_t0.11_time500000_gamma-0.5	4.834164	-17.501060
8	d0.84_t0.11_time500000_gamma-0.5	7.086941	-23.552545
9	d0.88_t0.11_time500000_gamma-0.5	7.609168	-26.225650
10	d0.7_t0.11_time500000_gamma-0.5	4.020391	-16.067137
