sim	folder	gamma	lambda
0	d0.76_t0.11_time500000_gamma-0.5	4.53799805083971	-18.592692203593757
1	d0.86_t0.11_time500000_gamma-0.5	7.058665055324404	-25.46307076489106
2	d0.9_t0.11_time500000_gamma-0.5	7.6222274388901265	-28.441112673290245
3	d0.8_t0.11_time500000_gamma-0.5	5.709359015860981	-20.948671710745415
4	d0.72_t0.11_time500000_gamma-0.5	4.334209629972069	-16.42663337563863
5	d0.82_t0.11_time500000_gamma-0.5	6.0191429261074205	-22.600074004346588
6	d0.78_t0.11_time500000_gamma-0.5	5.3270023999331855	-19.785750389192927
7	d0.74_t0.11_time500000_gamma-0.5	4.834163563299736	-17.501060179502772
8	d0.84_t0.11_time500000_gamma-0.5	7.086941231930748	-23.552544775292276
9	d0.88_t0.11_time500000_gamma-0.5	7.609168382400586	-26.225650280074497
10	d0.7_t0.11_time500000_gamma-0.5	4.020391228099099	-16.0671373067607
