slice	rho_of_slice	gamma	lambda
0	1.2	43.184871	-58.085545
1	1.268421052631579	58.896426	-54.539159
2	1.3368421052631578	74.136565	-47.466887
3	1.4052631578947368	87.199251	-40.758973
4	1.4736842105263157	98.951289	-43.404158
5	1.5421052631578946	110.801212	-34.702218
6	1.6105263157894738	118.254141	8.261610
7	1.6789473684210527	115.868212	96.480185
8	1.7473684210526317	96.008783	193.441487
9	1.8157894736842106	63.389075	210.721029
10	1.8842105263157896	35.721255	149.485327
11	1.9526315789473685	18.255542	86.512664
12	2.0210526315789474	7.244985	39.700639
13	2.0894736842105264	2.495186	-22.148283
14	2.1578947368421053	8.410467	-119.316462
15	2.2263157894736842	29.615330	-209.667307
16	2.294736842105263	57.681830	-208.942021
17	2.363157894736842	73.745814	-144.509223
18	2.431578947368421	78.820253	-115.707032
19	2.5	81.745370	-132.254953
