nr_simulation	folder	gamma	lambda
0	d0.76_t0.11_time500000_gamma-0.5	46.695922	-143.240371
1	d0.86_t0.11_time500000_gamma-0.5	56.034340	-172.681180
2	d0.9_t0.11_time500000_gamma-0.5	58.286332	-191.734958
3	d0.8_t0.11_time500000_gamma-0.5	51.328134	-152.443729
4	d0.72_t0.11_time500000_gamma-0.5	48.676381	-136.863565
5	d0.82_t0.11_time500000_gamma-0.5	52.703402	-161.560904
6	d0.78_t0.11_time500000_gamma-0.5	50.318659	-148.380025
7	d0.74_t0.11_time500000_gamma-0.5	49.959984	-139.595351
8	d0.84_t0.11_time500000_gamma-0.5	57.954951	-164.781171
9	d0.88_t0.11_time500000_gamma-0.5	59.661209	-178.665232
10	d0.7_t0.11_time500000_gamma-0.5	48.578976	-139.167191
