sim	folder	gamma	lambda
0	d0.76_t0.11_time500000_gamma-0.5	46.695922289521214	-143.24037149849852
1	d0.86_t0.11_time500000_gamma-0.5	56.034340399021204	-172.6811803429267
2	d0.9_t0.11_time500000_gamma-0.5	58.28633197464462	-191.73495789469865
3	d0.8_t0.11_time500000_gamma-0.5	51.328134025234945	-152.44372895932554
4	d0.72_t0.11_time500000_gamma-0.5	48.67638073714282	-136.86356460121135
5	d0.82_t0.11_time500000_gamma-0.5	52.70340210765094	-161.56090371076237
6	d0.78_t0.11_time500000_gamma-0.5	50.31865867195151	-148.3800245035198
7	d0.74_t0.11_time500000_gamma-0.5	49.95998421509348	-139.59535133957667
8	d0.84_t0.11_time500000_gamma-0.5	57.9549506013292	-164.7811712053709
9	d0.88_t0.11_time500000_gamma-0.5	59.66120924140499	-178.66523210273087
10	d0.7_t0.11_time500000_gamma-0.5	48.57897586192597	-139.16719081494523
