slice	rho_of_slice	gamma	lambda
0	1.2	251.789873	-1025.398138
1	1.268421052631579	414.661226	-1244.998801
2	1.3368421052631578	681.413040	-473.421358
3	1.4052631578947368	682.389707	1248.028808
4	1.4736842105263157	439.918888	1605.905211
5	1.5421052631578946	271.404542	1081.129187
6	1.6105263157894738	135.957057	893.485518
7	1.6789473684210527	-1.558155	824.751585
8	1.7473684210526317	-130.874017	568.826145
9	1.8157894736842106	-204.072859	75.403891
10	1.8842105263157896	-196.773403	-614.845077
11	1.9526315789473685	-75.741054	-1496.639810
12	2.0210526315789474	176.683181	-2028.810094
13	2.0894736842105264	437.865311	-1666.515333
14	2.1578947368421053	573.566897	-814.131780
15	2.2263157894736842	580.232363	-109.751655
16	2.294736842105263	506.558569	231.331363
17	2.363157894736842	411.087996	250.125582
18	2.431578947368421	328.767252	123.720782
19	2.5	265.121122	38.362318
