nr_slice	rho	gamma	lambda
0	1.4	698.226054	2157.634220
1	1.4684210526315788	456.107097	1637.325367
2	1.5368421052631578	282.700175	1110.740039
3	1.6052631578947367	146.119130	899.676547
4	1.6736842105263157	9.277904	833.685938
5	1.7421052631578946	-122.404419	598.055530
6	1.8105263157894738	-201.078854	119.909795
7	1.8789473684210527	-200.796082	-553.148233
8	1.9473684210526316	-90.068902	-1430.523899
9	2.015789473684211	154.496220	-2017.951131
10	2.0842105263157897	421.466662	-1721.852961
11	2.1526315789473687	568.140592	-879.603829
12	2.2210526315789476	583.299763	-152.084591
13	2.2894736842105265	513.724254	218.226400
14	2.3578947368421055	418.164675	256.575724
15	2.4263157894736844	334.364766	134.057288
16	2.4947368421052634	269.636366	18.936293
17	2.5631578947368423	212.802825	-33.285561
18	2.6315789473684212	156.669575	-70.603767
19	2.7	104.000697	-118.214206
