nr_simulation	folder	gamma	lambda
0	d0.76_t0.11_time500000_gamma-0.5	-1.422218	-16.003611
1	d0.86_t0.11_time500000_gamma-0.5	-3.086753	-18.459130
2	d0.9_t0.11_time500000_gamma-0.5	-3.583859	-18.876650
3	d0.8_t0.11_time500000_gamma-0.5	-2.180227	-16.486765
4	d0.72_t0.11_time500000_gamma-0.5	2.300956	-20.658240
5	d0.82_t0.11_time500000_gamma-0.5	-2.763415	-16.977514
6	d0.78_t0.11_time500000_gamma-0.5	-1.973632	-17.970604
7	d0.74_t0.11_time500000_gamma-0.5	-2.941672	-17.030266
8	d0.84_t0.11_time500000_gamma-0.5	-2.905687	-16.566701
9	d0.88_t0.11_time500000_gamma-0.5	-3.167707	-18.595689
10	d0.7_t0.11_time500000_gamma-0.5	-27.699322	-23.662178
