sim	folder	gamma	lambda
0	d0.76_t0.11_time500000_gamma-0.5	-1.4222177828954814	-16.003610531066816
1	d0.86_t0.11_time500000_gamma-0.5	-3.086753187264522	-18.45912966334112
2	d0.9_t0.11_time500000_gamma-0.5	-3.583859414845586	-18.876650320724902
3	d0.8_t0.11_time500000_gamma-0.5	-2.1802272203026316	-16.48676547643965
4	d0.72_t0.11_time500000_gamma-0.5	2.3009563202004237	-20.658240338877278
5	d0.82_t0.11_time500000_gamma-0.5	-2.763414875192493	-16.977513642603704
6	d0.78_t0.11_time500000_gamma-0.5	-1.9736320951141404	-17.970604048670996
7	d0.74_t0.11_time500000_gamma-0.5	-2.9416724850801645	-17.030266120845106
8	d0.84_t0.11_time500000_gamma-0.5	-2.905686816061042	-16.566701040368777
9	d0.88_t0.11_time500000_gamma-0.5	-3.1677072441498115	-18.595689251083368
10	d0.7_t0.11_time500000_gamma-0.5	-27.69932216058544	-23.66217779756101
