nr_slice	rho	gamma	lambda
0	1.4	-23.061566	-79.888131
1	1.4684210526315788	-18.911917	-62.311632
2	1.5368421052631578	-16.025150	-42.269201
3	1.6052631578947367	-15.203846	-22.247583
4	1.6736842105263157	-16.555148	-12.286559
5	1.7421052631578946	-17.705381	-16.432276
6	1.8105263157894738	-17.243008	-25.028540
7	1.8789473684210527	-15.380174	-27.054932
8	1.9473684210526316	-13.822016	-22.494992
9	2.015789473684211	-12.809917	-17.142548
10	2.0842105263157897	-12.406934	-11.340817
11	2.1526315789473687	-12.700304	-10.517953
12	2.2210526315789476	-12.201559	-14.509550
13	2.2894736842105265	-11.232748	-18.023342
14	2.3578947368421055	-9.747985	-15.290117
15	2.4263157894736844	-9.743348	-23.872504
16	2.4947368421052634	-5.828662	-30.988576
17	2.5631578947368423	-6.047101	-15.719188
18	2.6315789473684212	-7.266417	-28.415240
19	2.7	-4.969780	-74.864611
