sim	folder	gamma	lambda
0	d0.76_t0.11_time500000_gamma-0.5	13.208043184407252	-245.6460373128
1	d0.86_t0.11_time500000_gamma-0.5	-3.9116443059638897	-211.52798539274323
2	d0.9_t0.11_time500000_gamma-0.5	-8.385175421856749	-204.3733092378772
3	d0.8_t0.11_time500000_gamma-0.5	3.610234201165243	-219.7542277866092
4	d0.72_t0.11_time500000_gamma-0.5	-3645.9986007277253	376.19383788399665
5	d0.82_t0.11_time500000_gamma-0.5	-2.9335344219866233	-217.69230326589874
6	d0.78_t0.11_time500000_gamma-0.5	10.343469330075475	-261.89892555859353
7	d0.74_t0.11_time500000_gamma-0.5	-1426.8289518888437	-73.15452585272305
8	d0.84_t0.11_time500000_gamma-0.5	-3.4894402383748346	-197.26274066882047
9	d0.88_t0.11_time500000_gamma-0.5	-5.322788534442347	-208.86977631171362
10	d0.7_t0.11_time500000_gamma-0.5	-5297.10443836737	1206.0577781870156
