slice	rho_of_slice	gamma	lambda
0	1.4	974.670722	7711.265452
1	1.4684210526315788	21.994738	5455.747527
2	1.5368421052631578	-600.314859	1376.468541
3	1.6052631578947367	-531.121603	-1436.299591
4	1.6736842105263157	-338.583492	-984.677239
5	1.7421052631578946	-353.366157	37.794109
6	1.8105263157894738	-427.145293	-493.560250
7	1.8789473684210527	-283.724388	-747.216837
8	1.9473684210526316	-273.899507	-232.230402
9	2.015789473684211	-261.442727	-395.482127
10	2.0842105263157897	-197.995090	-109.903742
11	2.1526315789473687	-262.048921	-408.550998
12	2.2210526315789476	-101.676870	-286.013382
13	2.2894736842105265	-220.894790	164.892123
14	2.3578947368421055	-151.125931	-355.058175
15	2.4263157894736844	-139.691012	-177.939839
16	2.4947368421052634	-117.858177	-285.814423
17	2.5631578947368423	-82.464902	-183.351648
18	2.6315789473684212	-111.870587	-80.504213
19	2.7	-87.747919	-479.380745
