slice	rho_of_slice	gamma	lambda
0	1.4	9.675538	-16.713155
1	1.4684210526315788	7.760926	88.522852
2	1.5368421052631578	-22.620138	135.407146
3	1.6052631578947367	-36.006988	369.567032
4	1.6736842105263157	-124.632783	-240.907228
5	1.7421052631578946	66.628510	-682.635577
6	1.8105263157894738	13.934486	157.022954
7	1.8789473684210527	-0.527119	111.084289
8	1.9473684210526316	-39.897068	51.108611
9	2.015789473684211	-13.445438	139.271814
10	2.0842105263157897	-104.988862	265.901543
11	2.1526315789473687	-77.555754	1684.425634
12	2.2210526315789476	-401.338230	-11710.016398
13	2.2894736842105265	-401.338230	-12893.067751
14	2.3578947368421055	-401.338230	-12893.067751
15	2.4263157894736844	-401.338230	-12893.067751
16	2.4947368421052634	-401.338230	-12893.067751
17	2.5631578947368423	-401.338230	-12893.067751
18	2.6315789473684212	-401.338230	-12893.067751
19	2.7	-401.338230	-12893.067751
