slice	rho_of_slice	gamma	lambda
0	1.4	13.459463	2.892406
1	1.426530612244898	13.401612	3.736952
2	1.4530612244897958	13.155949	4.085906
3	1.4795918367346939	12.980051	4.191211
4	1.5061224489795917	12.667808	6.494243
5	1.5326530612244897	12.184393	8.527510
6	1.5591836734693878	11.583946	9.597881
7	1.5857142857142856	10.911520	9.925333
8	1.6122448979591837	10.202173	9.729000
9	1.6387755102040815	9.480321	9.185263
10	1.6653061224489796	8.763591	8.421420
11	1.6918367346938776	8.063724	7.569224
12	1.7183673469387755	7.384855	6.763648
13	1.7448979591836735	6.724114	6.279515
14	1.7714285714285714	6.055532	8.224282
15	1.7979591836734694	5.150358	15.781098
16	1.8244897959183675	3.634728	12.302066
17	1.8510204081632653	3.054132	2.399850
18	1.8775510204081634	2.574584	1.386368
19	1.9040816326530612	2.086677	1.680158
20	1.9306122448979592	1.561585	2.315174
21	1.9571428571428573	0.994398	-6.831471
22	1.9836734693877551	1.431853	12.288119
23	2.010204081632653	-1.135441	18.345182
24	2.036734693877551	-1.389861	-3.859076
25	2.063265306122449	-1.596778	-4.677072
26	2.089795918367347	-1.760273	-5.108723
27	2.1163265306122447	-1.918963	-4.393323
28	2.142857142857143	-2.158936	-2.536920
29	2.169387755102041	-2.515869	-0.522400
30	2.195918367346939	-2.967625	1.109967
31	2.222448979591837	-3.491206	2.453846
32	2.2489795918367346	-4.074534	3.664293
33	2.2755102040816326	-4.711294	4.818150
34	2.3020408163265307	-5.397623	5.908289
35	2.3285714285714287	-6.126426	6.883636
36	2.355102040816327	-6.888467	7.752730
37	2.3816326530612244	-7.677773	8.603754
38	2.408163265306123	-8.494723	9.510904
39	2.4346938775510205	-9.341192	10.418101
40	2.4612244897959186	-10.211111	11.114672
41	2.4877551020408166	-11.082855	11.123293
42	2.5142857142857142	-11.897340	6.693443
43	2.5408163265306127	-12.229500	-0.280507
44	2.5673469387755103	-12.213254	0.881404
45	2.5938775510204084	-12.629036	9.685830
46	2.6204081632653065	-13.503590	20.977466
47	2.646938775510204	-15.038769	35.884116
48	2.673469387755102	-17.352689	47.578434
49	2.7	-19.892863	52.791660
