nr_slice	rho	gamma	lambda
0	1.4	20.829237	-176.523092
1	1.426530612244898	24.128340	-169.089338
2	1.4530612244897958	26.789658	-177.558432
3	1.4795918367346939	31.140856	-175.464335
4	1.5061224489795917	33.916714	-138.067984
5	1.5326530612244897	34.549084	-103.601623
6	1.5591836734693878	33.783888	-82.605562
7	1.5857142857142856	32.227874	-70.987445
8	1.6122448979591837	30.236534	-64.084767
9	1.6387755102040815	27.945049	-58.956041
10	1.6653061224489796	25.403244	-54.612504
11	1.6918367346938776	22.642558	-50.646217
12	1.7183673469387755	19.671003	-46.680337
13	1.7448979591836735	16.481280	-41.450558
14	1.7714285714285714	12.949244	-25.785798
15	1.7979591836734694	8.094430	-83.659286
16	1.8244897959183675	10.699514	-176.734187
17	1.8510204081632653	16.237969	-197.625456
18	1.8775510204081634	21.465119	-189.782361
19	1.9040816326530612	26.460160	-179.922750
20	1.9306122448979592	30.839372	-164.783709
21	1.9571428571428573	34.338876	-84.326783
22	1.9836734693877551	30.214563	-231.099016
23	2.010204081632653	49.041909	-286.836086
24	2.036734693877551	50.912242	-111.402956
25	2.063265306122449	50.954055	-79.474656
26	2.089795918367347	49.257866	-48.211190
27	2.1163265306122447	45.825102	-19.489511
28	2.142857142857143	40.975873	0.571804
29	2.169387755102041	35.362765	10.819619
30	2.195918367346939	29.404074	15.532426
31	2.222448979591837	23.286026	17.781046
32	2.2489795918367346	17.100055	18.900257
33	2.2755102040816326	10.892750	19.756533
34	2.3020408163265307	4.666563	20.789934
35	2.3285714285714287	-1.573791	22.066055
36	2.355102040816327	-7.828619	23.908045
37	2.3816326530612244	-14.124030	27.107775
38	2.408163265306123	-20.540585	32.202500
39	2.4346938775510205	-27.155653	38.655641
40	2.4612244897959186	-33.986451	45.528063
41	2.4877551020408166	-41.003832	52.262618
42	2.5142857142857142	-48.154616	55.820551
43	2.5408163265306127	-55.060671	40.362841
44	2.5673469387755103	-59.867099	30.479691
45	2.5938775510204084	-65.182604	55.179758
46	2.6204081632653065	-72.132478	100.801619
47	2.646938775510204	-81.692183	165.075706
48	2.673469387755102	-94.630013	243.888816
49	2.7	-111.368446	295.536827
