slice	rho_of_slice	gamma	lambda
0	1.4	-166.983648	6048.330572
1	1.4684210526315788	-1036.369784	1696.804450
2	1.5368421052631578	-819.809594	-1617.767802
3	1.6052631578947367	-726.920258	-825.718179
4	1.6736842105263157	-698.277943	-442.699047
5	1.7421052631578946	-692.198098	-275.547117
6	1.8105263157894738	-695.228495	-167.189781
7	1.8789473684210527	-706.445976	-56.175320
8	1.9473684210526316	-728.302239	78.275264
9	2.015789473684211	-764.797216	226.119825
10	2.0842105263157897	-814.718908	332.203570
11	2.1526315789473687	-865.988986	322.609559
12	2.2210526315789476	-896.798137	105.825403
13	2.2894736842105265	-871.099793	-424.330582
14	2.3578947368421055	-742.023413	-1315.021907
15	2.4263157894736844	-469.141289	-2152.534391
16	2.4947368421052634	-132.347900	-2197.906774
17	2.5631578947368423	105.744691	-1481.125403
18	2.6315789473684212	195.782485	-812.049041
19	2.7	214.358101	-667.372134
