nr_slice	rho	gamma	lambda
0	1.4	226.088330	2399.621758
1	1.4684210526315788	-88.304115	1536.858106
2	1.5368421052631578	-214.273014	141.461216
3	1.6052631578947367	-154.992095	-383.204742
4	1.6736842105263157	-127.685747	-194.998391
5	1.7421052631578946	-115.185341	-105.936345
6	1.8105263157894738	-109.443204	-61.350609
7	1.8789473684210527	-107.130034	-36.030247
8	1.9473684210526316	-106.670178	-21.057763
9	2.015789473684211	-106.983121	-12.468559
10	2.0842105263157897	-107.480656	-5.642964
11	2.1526315789473687	-108.287436	2.608640
12	2.2210526315789476	-109.612282	11.881694
13	2.2894736842105265	-111.370002	20.760617
14	2.3578947368421055	-113.277068	31.244660
15	2.4263157894736844	-115.699119	50.173595
16	2.4947368421052634	-120.030590	83.077238
17	2.5631578947368423	-127.633038	136.293314
18	2.6315789473684212	-140.646141	213.583005
19	2.7	-159.219963	301.540457
