slice	rho_of_slice	gamma	lambda
0	1.4	87.212273	-23.844822
1	1.426530612244898	91.221334	-25.324167
2	1.4530612244897958	95.041961	-29.445481
3	1.4795918367346939	99.142866	-43.160016
4	1.5061224489795917	104.105543	-64.787406
5	1.5326530612244897	110.247592	-91.238354
6	1.5591836734693878	117.822396	-122.264842
7	1.5857142857142856	127.113825	-158.126170
8	1.6122448979591837	138.394943	-193.226751
9	1.6387755102040815	151.345249	-215.224357
10	1.6653061224489796	164.893162	-214.900394
11	1.6918367346938776	177.687157	-187.958277
12	1.7183673469387755	188.156086	-131.983051
13	1.7448979591836735	194.661916	-53.797914
14	1.7714285714285714	196.346351	26.041394
15	1.7979591836734694	193.776089	82.129606
16	1.8244897959183675	188.842975	100.785930
17	1.8510204081632653	183.626537	84.432340
18	1.8775510204081634	179.799133	47.525671
19	1.9040816326530612	177.915157	13.265640
20	1.9306122448979592	177.170453	-0.842780
21	1.9571428571428573	176.240842	9.980931
22	1.9836734693877551	173.805521	41.169474
23	2.010204081632653	169.031948	79.332414
24	2.036734693877551	162.039365	107.797504
25	2.063265306122449	153.782942	114.191250
26	2.089795918367347	145.699856	94.696564
27	2.1163265306122447	139.134494	53.420995
28	2.142857142857143	135.055371	-3.829455
29	2.169387755102041	134.148407	-64.613854
30	2.195918367346939	136.012160	-112.524535
31	2.222448979591837	139.565100	-134.634653
32	2.2489795918367346	143.036005	-122.007232
33	2.2755102040816326	144.440644	-83.444005
34	2.3020408163265307	143.027320	-43.369375
35	2.3285714285714287	139.463949	-19.459440
36	2.355102040816327	134.872379	-13.029212
37	2.3816326530612244	130.018826	-16.549066
38	2.408163265306123	125.185810	-23.751807
39	2.4346938775510205	120.452160	-31.027179
40	2.4612244897959186	115.703621	-32.774378
41	2.4877551020408166	110.425496	-27.901640
42	2.5142857142857142	104.431928	-24.282739
43	2.5408163265306127	98.069750	-26.215556
44	2.5673469387755103	91.578575	-29.768583
45	2.5938775510204084	84.855494	-32.759964
46	2.6204081632653065	77.913647	-39.252505
47	2.646938775510204	71.072023	-52.091757
48	2.673469387755102	64.571733	-72.148404
49	2.7	58.727710	-92.551117
