nr_slice	rho	gamma	lambda
0	1.4	546.128901	2413.826588
1	1.426530612244898	431.860625	2116.537418
2	1.4530612244897958	336.207137	1590.102816
3	1.4795918367346939	268.305322	1054.087889
4	1.5061224489795917	223.404705	654.344987
5	1.5326530612244897	194.157105	380.507372
6	1.5591836734693878	175.992402	179.285287
7	1.5857142857142856	166.675042	34.796238
8	1.6122448979591837	163.020933	-30.961988
9	1.6387755102040815	160.187414	-1.022766
10	1.6653061224489796	152.924868	98.674794
11	1.6918367346938776	138.950171	175.281436
12	1.7183673469387755	122.844770	113.262950
13	1.7448979591836735	114.776535	-128.023782
14	1.7714285714285714	123.890758	-505.395534
15	1.7979591836734694	155.863566	-969.725682
16	1.8244897959183675	214.543862	-1476.230039
17	1.8510204081632653	300.680883	-1975.172459
18	1.8775510204081634	412.596222	-2400.936180
19	1.9040816326530612	543.803448	-2639.665689
20	1.9306122448979592	680.273515	-2587.997899
21	1.9571428571428573	804.360537	-2223.630020
22	1.9836734693877551	899.662832	-1623.648063
23	2.010204081632653	956.922530	-953.156719
24	2.036734693877551	977.609098	-375.337815
25	2.063265306122449	970.118764	31.771405
26	2.089795918367347	944.415360	275.436351
27	2.1163265306122447	908.202150	411.971585
28	2.142857142857143	865.468044	499.090373
29	2.169387755102041	817.789688	567.425353
30	2.195918367346939	765.923738	624.030478
31	2.222448979591837	710.727402	663.581688
32	2.2489795918367346	653.542065	677.532607
33	2.2755102040816326	596.123614	655.411012
34	2.3020408163265307	540.880539	594.900895
35	2.3285714285714287	489.709792	509.738420
36	2.355102040816327	443.442607	419.958553
37	2.3816326530612244	401.756607	341.067586
38	2.408163265306123	363.799629	273.574303
39	2.4346938775510205	329.197549	211.758656
40	2.4612244897959186	297.684267	157.213524
41	2.4877551020408166	268.690366	111.943647
42	2.5142857142857142	241.739637	72.364504
43	2.5408163265306127	216.644575	36.798800
44	2.5673469387755103	193.083598	7.731939
45	2.5938775510204084	170.594257	-16.030701
46	2.6204081632653065	148.990504	-39.884285
47	2.646938775510204	128.358657	-66.475668
48	2.673469387755102	108.716073	-96.254834
49	2.7	90.099096	-120.786889
