slice	rho_of_slice	gamma	lambda
0	1.4	-19.450334	-90.586033
1	1.4142857142857141	-18.175994	-81.284822
2	1.4285714285714284	-17.239367	-68.084754
3	1.4428571428571428	-16.560653	-58.163966
4	1.457142857142857	-16.058599	-51.007515
5	1.4714285714285713	-15.675473	-45.640597
6	1.4857142857142855	-15.380730	-41.273487
7	1.5	-15.158806	-37.429111
8	1.5142857142857142	-15.004535	-33.792576
9	1.5285714285714285	-14.919132	-30.162171
10	1.5428571428571427	-14.908113	-26.550003
11	1.5571428571428572	-14.971372	-23.079269
12	1.5714285714285714	-15.106616	-19.749510
13	1.5857142857142856	-15.312981	-16.511838
14	1.5999999999999999	-15.590306	-13.327030
15	1.6142857142857143	-15.939380	-10.322294
16	1.6285714285714286	-16.352255	-7.939565
17	1.6428571428571428	-16.803826	-6.494931
18	1.657142857142857	-17.267226	-6.063565
19	1.6714285714285713	-17.712363	-6.747899
20	1.6857142857142857	-18.105940	-8.503715
21	1.7	-18.419942	-11.159918
22	1.7142857142857142	-18.630647	-14.637034
23	1.7285714285714286	-18.714570	-18.910172
24	1.7428571428571429	-18.649499	-23.933152
25	1.7571428571428571	-18.414788	-29.556933
26	1.7714285714285714	-17.997044	-35.403115
27	1.7857142857142856	-17.397687	-40.778486
28	1.8	-16.643491	-44.775586
29	1.8142857142857143	-15.788314	-46.587197
30	1.8285714285714285	-14.905527	-46.091190
31	1.842857142857143	-14.056201	-43.710257
32	1.8571428571428572	-13.289500	-39.812532
33	1.8714285714285714	-12.645178	-34.870705
34	1.8857142857142857	-12.144936	-29.481235
35	1.9	-11.793892	-24.241037
36	1.9142857142857141	-11.579077	-19.598701
37	1.9285714285714286	-11.479507	-15.780249
38	1.9428571428571428	-11.468953	-12.945408
39	1.9571428571428573	-11.517110	-11.173632
40	1.9714285714285715	-11.593188	-10.440010
41	1.9857142857142858	-11.668441	-10.516560
42	2.0	-11.725383	-11.039515
43	2.0142857142857142	-11.756310	-11.672455
44	2.0285714285714285	-11.763159	-12.122679
45	2.0428571428571427	-11.755032	-12.184003
46	2.057142857142857	-11.745586	-11.710365
47	2.0714285714285716	-11.752073	-10.627539
48	2.085714285714286	-11.792050	-9.151575
49	2.1	-11.869978	-8.249185
