slice	rho_of_slice	gamma	lambda
0	1.4	1822.784594	5750.074958
1	1.4142857142857141	1655.197610	5158.313234
2	1.4285714285714284	1502.710483	3725.254764
3	1.4428571428571428	1403.591446	2364.061686
4	1.457142857142857	1324.693270	2364.211216
5	1.4714285714285713	1223.544601	2049.718370
6	1.4857142857142855	1157.052202	1059.014357
7	1.5	1111.837499	872.352582
8	1.5142857142857142	1057.363362	1581.221955
9	1.5285714285714285	970.753377	2255.761126
10	1.5428571428571427	872.221879	2341.336557
11	1.5571428571428572	773.876025	2060.246812
12	1.5714285714285714	684.904535	1560.132369
13	1.5857142857142856	610.078916	1104.209602
14	1.5999999999999999	543.879384	830.360852
15	1.6142857142857143	482.490307	653.170874
16	1.6285714285714286	424.823566	526.846190
17	1.6428571428571428	369.523130	449.656306
18	1.657142857142857	315.460467	391.771723
19	1.6714285714285713	262.890478	317.138161
20	1.6857142857142857	212.745406	215.111348
21	1.7	165.921026	88.571783
22	1.7142857142857142	123.203633	-54.384846
23	1.7285714285714286	85.030497	-198.704382
24	1.7428571428571429	51.309132	-331.008224
25	1.7571428571428571	21.668771	-445.396971
26	1.7714285714285714	-4.371785	-538.332611
27	1.7857142857142856	-27.434400	-608.401782
28	1.8	-48.127813	-657.345081
29	1.8142857142857143	-67.012575	-686.505455
30	1.8285714285714285	-84.649937	-698.831038
31	1.842857142857143	-101.455288	-698.362989
32	1.8571428571428572	-117.772731	-687.907886
33	1.8714285714285714	-133.865125	-672.295608
34	1.8857142857142857	-149.803419	-655.927227
35	1.9	-165.595658	-639.242640
36	1.9142857142857141	-181.282713	-621.197055
37	1.9285714285714286	-196.928413	-601.734237
38	1.9428571428571428	-212.573478	-581.849900
39	1.9571428571428573	-228.220764	-563.854229
40	1.9714285714285715	-243.774459	-550.528472
41	1.9857142857142858	-259.072896	-543.651533
42	2.0	-273.913808	-546.381329
43	2.0142857142857142	-287.951723	-560.761292
44	2.0285714285714285	-300.865243	-584.764770
45	2.0428571428571427	-312.425160	-614.200555
46	2.057142857142857	-322.552659	-645.051707
47	2.0714285714285716	-331.252561	-674.949352
48	2.085714285714286	-338.586233	-701.974956
49	2.1	-344.672530	-705.442871
