# Timestep MovingParticles
10 1157
20 1128
30 1157
40 1107
50 1118
60 1086
70 1139
80 1137
90 1122
100 1093
110 1074
120 1101
130 1082
140 1079
150 1106
160 1080
170 1099
180 1048
190 1064
200 1022
210 1028
220 1026
230 1053
240 1055
250 1080
260 1026
270 1097
280 1051
290 1066
300 1048
310 1063
320 1000
330 1023
340 1011
350 1077
360 1055
370 1006
380 1023
390 1045
400 1082
410 1011
420 990
430 982
440 1033
450 991
460 993
470 1025
480 999
490 979
500 1019
510 1012
520 1013
530 1022
540 1018
550 1001
560 999
570 1034
580 1045
590 1009
600 998
610 1024
620 1001
630 1026
640 992
650 1036
660 953
670 1007
680 983
690 1013
700 1015
710 976
720 1045
730 972
740 979
750 961
760 990
770 986
780 1001
790 987
800 1009
810 1015
820 1000
830 962
840 966
850 1002
860 994
870 938
880 996
890 994
900 976
910 1000
920 975
930 1006
940 1005
950 992
960 983
970 978
980 1010
990 955
1000 1003
1010 1011
1020 942
1030 1002
1040 1002
1050 996
1060 1034
1070 969
1080 992
1090 992
1100 995
1110 953
1120 990
1130 973
1140 1005
1150 968
1160 1001
1170 933
1180 969
1190 990
1200 968
1210 987
1220 992
1230 1004
1240 1020
1250 944
1260 910
1270 1018
1280 1025
1290 978
1300 1000
1310 981
1320 955
1330 1022
1340 984
1350 976
1360 1010
1370 996
1380 1013
1390 1033
1400 1019
1410 950
1420 964
1430 1000
1440 972
1450 992
1460 990
1470 975
1480 978
1490 987
1500 999
1510 981
1520 1035
1530 1018
1540 1041
1550 935
1560 979
1570 997
1580 998
1590 958
1600 967
1610 1003
1620 1001
1630 981
1640 1016
1650 973
1660 975
1670 991
1680 973
1690 1006
1700 970
1710 950
1720 951
1730 955
1740 951
1750 942
1760 986
1770 992
1780 960
1790 977
1800 969
1810 957
1820 955
1830 964
1840 939
1850 941
1860 953
1870 970
1880 982
1890 992
1900 1006
1910 999
1920 1000
1930 999
1940 1031
1950 989
1960 949
1970 924
1980 942
1990 967
2000 975
2010 964
2020 997
2030 991
2040 1004
2050 972
2060 1002
2070 969
2080 992
2090 940
2100 982
2110 978
2120 997
2130 971
2140 943
2150 947
2160 965
2170 981
2180 929
2190 947
2200 990
2210 970
2220 937
2230 943
2240 961
2250 968
2260 971
2270 955
2280 982
2290 963
2300 1013
2310 948
2320 1003
2330 921
2340 954
2350 944
2360 976
2370 949
2380 976
2390 945
2400 943
2410 976
2420 961
2430 974
2440 969
2450 953
2460 955
2470 963
2480 949
2490 927
2500 938
2510 966
2520 964
2530 965
2540 899
2550 970
2560 945
2570 921
2580 950
2590 949
2600 982
2610 966
2620 951
2630 953
2640 979
2650 964
2660 922
2670 902
2680 924
2690 945
2700 1014
2710 957
2720 951
2730 939
2740 959
2750 979
2760 927
2770 934
2780 971
2790 1007
2800 1002
2810 978
2820 982
2830 973
2840 955
2850 952
2860 931
2870 994
2880 972
2890 966
2900 908
2910 1000
2920 961
2930 922
2940 941
2950 941
2960 938
2970 965
2980 972
2990 978
3000 948
3010 943
3020 981
3030 957
3040 957
3050 991
3060 967
3070 949
3080 965
3090 961
3100 946
3110 941
3120 951
3130 999
3140 976
3150 938
3160 947
3170 922
3180 924
3190 930
3200 943
3210 928
3220 958
3230 928
3240 956
3250 944
3260 931
3270 952
3280 939
3290 903
3300 951
3310 919
3320 926
3330 945
3340 974
3350 906
3360 952
3370 952
3380 931
3390 935
3400 904
3410 906
3420 959
3430 963
3440 929
3450 967
3460 955
3470 927
3480 945
3490 949
3500 933
3510 931
3520 954
3530 918
3540 986
3550 906
3560 939
3570 949
3580 934
3590 962
3600 940
3610 976
3620 994
3630 943
3640 905
3650 901
3660 970
3670 941
3680 949
3690 990
3700 984
3710 953
3720 946
3730 984
3740 976
3750 928
3760 960
3770 955
3780 968
3790 938
3800 950
3810 986
3820 980
3830 936
3840 936
3850 979
3860 946
3870 979
3880 975
3890 964
3900 981
3910 972
3920 961
3930 938
3940 923
3950 937
3960 953
3970 948
3980 956
3990 1008
4000 962
4010 964
4020 968
4030 956
4040 934
4050 951
4060 941
4070 963
4080 938
4090 927
4100 927
4110 878
4120 924
4130 962
4140 952
4150 959
4160 968
4170 941
4180 957
4190 989
4200 956
4210 984
4220 969
4230 976
4240 931
4250 933
4260 952
4270 893
4280 920
4290 941
4300 965
4310 916
4320 930
4330 955
4340 974
4350 999
4360 966
4370 982
4380 971
4390 961
4400 941
4410 951
4420 974
4430 965
4440 970
4450 929
4460 963
4470 1033
4480 913
4490 943
4500 987
4510 952
4520 912
4530 922
4540 932
4550 953
4560 975
4570 951
4580 996
4590 981
4600 1016
4610 941
4620 915
4630 982
4640 937
4650 950
4660 964
4670 955
4680 927
4690 971
4700 930
4710 959
4720 955
4730 955
4740 970
4750 915
4760 935
4770 956
4780 966
4790 1004
4800 950
4810 975
4820 939
4830 946
4840 938
4850 941
4860 947
4870 926
4880 966
4890 987
4900 952
4910 933
4920 952
4930 949
4940 953
4950 969
4960 914
4970 947
4980 966
4990 961
5000 952
5010 891
5020 918
5030 937
5040 921
5050 929
5060 913
5070 911
5080 957
5090 890
5100 932
5110 957
5120 957
5130 944
5140 921
5150 893
5160 892
5170 872
5180 934
5190 946
5200 913
5210 903
5220 976
5230 914
5240 967
5250 943
5260 957
5270 933
5280 964
5290 928
5300 961
5310 973
5320 947
5330 957
5340 1016
5350 921
5360 980
5370 1001
5380 931
5390 933
5400 932
5410 916
5420 943
5430 983
5440 946
5450 962
5460 913
5470 913
5480 927
5490 966
5500 1007
5510 964
5520 960
5530 901
5540 1000
5550 924
5560 989
5570 984
5580 946
5590 965
5600 962
5610 940
5620 923
5630 949
5640 966
5650 947
5660 943
5670 930
5680 933
5690 928
5700 972
5710 952
5720 963
5730 948
5740 1000
5750 969
5760 972
5770 975
5780 949
5790 993
5800 990
5810 961
5820 960
5830 987
5840 957
5850 971
5860 987
5870 986
5880 951
5890 973
5900 1000
5910 973
5920 957
5930 964
5940 923
5950 907
5960 985
5970 942
5980 989
5990 942
6000 934
6010 942
6020 972
6030 929
6040 948
6050 952
6060 938
6070 989
6080 937
6090 977
6100 976
6110 972
6120 1008
6130 948
6140 991
6150 980
6160 921
6170 973
6180 970
6190 982
6200 962
6210 1026
6220 983
6230 971
6240 942
6250 972
6260 959
6270 955
6280 935
6290 984
6300 938
6310 948
6320 978
6330 957
6340 941
6350 960
6360 954
6370 962
6380 1001
6390 972
6400 953
6410 939
6420 962
6430 870
6440 985
6450 904
6460 931
6470 986
6480 973
6490 967
6500 995
6510 925
6520 942
6530 925
6540 951
6550 976
6560 947
6570 964
6580 962
6590 933
6600 937
6610 936
6620 929
6630 991
6640 990
6650 919
6660 939
6670 973
6680 940
6690 967
6700 944
6710 971
6720 968
6730 974
6740 970
6750 911
6760 990
6770 982
6780 985
6790 905
6800 932
6810 944
6820 943
6830 978
6840 956
6850 926
6860 916
6870 935
6880 937
6890 922
6900 949
6910 944
6920 935
6930 956
6940 937
6950 936
6960 969
6970 970
6980 973
6990 1007
7000 953
7010 940
7020 958
7030 957
7040 977
7050 985
7060 937
7070 978
7080 931
7090 941
7100 977
7110 1016
7120 972
7130 945
7140 985
7150 964
7160 954
7170 989
7180 966
7190 934
7200 936
7210 916
7220 941
7230 968
7240 918
7250 936
7260 941
7270 941
7280 930
7290 932
7300 981
7310 930
7320 965
7330 897
7340 995
7350 982
7360 936
7370 949
7380 998
7390 936
7400 930
7410 905
7420 964
7430 957
7440 951
7450 967
7460 933
7470 979
7480 965
7490 956
7500 975
7510 945
7520 973
7530 958
7540 965
7550 974
7560 933
7570 895
7580 907
7590 949
7600 970
7610 922
7620 965
7630 963
7640 950
7650 970
7660 969
7670 972
7680 966
7690 977
7700 941
7710 929
7720 932
7730 945
7740 969
7750 954
7760 972
7770 982
7780 966
7790 973
7800 960
7810 920
7820 947
7830 946
7840 891
7850 938
7860 972
7870 908
7880 933
7890 958
7900 948
7910 930
7920 989
7930 914
7940 949
7950 926
7960 953
7970 981
7980 969
7990 982
8000 1010
8010 933
8020 958
8030 949
8040 995
8050 966
8060 937
8070 964
8080 946
8090 992
8100 986
8110 968
8120 905
8130 914
8140 967
8150 963
8160 959
8170 989
8180 974
8190 970
8200 977
8210 930
8220 981
8230 997
8240 976
8250 943
8260 896
8270 964
8280 932
8290 994
8300 949
8310 940
8320 960
8330 924
8340 951
8350 936
8360 935
8370 961
8380 965
8390 886
8400 966
8410 953
8420 913
8430 928
8440 970
8450 932
8460 984
8470 923
8480 965
8490 986
8500 954
8510 958
8520 916
8530 931
8540 982
8550 942
8560 921
8570 959
8580 998
8590 938
8600 964
8610 951
8620 936
8630 962
8640 923
8650 923
8660 906
8670 883
8680 892
8690 919
8700 947
8710 931
8720 914
8730 922
8740 940
8750 966
8760 935
8770 898
8780 922
8790 947
8800 900
8810 934
8820 910
8830 930
8840 933
8850 925
8860 902
8870 941
8880 879
8890 905
8900 937
8910 956
8920 961
8930 930
8940 976
8950 936
8960 969
8970 976
8980 953
8990 905
9000 941
9010 927
9020 940
9030 950
9040 960
9050 938
9060 901
9070 932
9080 939
9090 945
9100 964
9110 968
9120 938
9130 927
9140 926
9150 980
9160 956
9170 909
9180 947
9190 1004
9200 948
9210 933
9220 967
9230 947
9240 953
9250 946
9260 973
9270 945
9280 985
9290 963
9300 926
9310 945
9320 936
9330 968
9340 961
9350 973
9360 974
9370 965
9380 939
9390 941
9400 949
9410 950
9420 906
9430 964
9440 962
9450 985
9460 1003
9470 981
9480 941
9490 921
9500 956
9510 933
9520 927
9530 957
9540 987
9550 966
9560 935
9570 959
9580 927
9590 926
9600 937
9610 975
9620 950
9630 935
9640 937
9650 947
9660 971
9670 949
9680 995
9690 964
9700 916
9710 932
9720 945
9730 1008
9740 927
9750 973
9760 933
9770 947
9780 927
9790 937
9800 907
9810 973
9820 963
9830 943
9840 966
9850 958
9860 949
9870 989
9880 960
9890 940
9900 939
9910 954
9920 918
9930 898
9940 928
9950 978
9960 924
9970 995
9980 943
9990 912
10000 936
