# Timestep MovingParticles
1 1180
10 1176
20 1162
30 1170
40 1134
50 1098
60 1100
70 1125
80 1109
90 1058
100 1060
110 1062
120 1034
130 1048
140 1061
150 1024
160 1024
170 1006
180 1028
190 1038
200 995
210 1029
220 992
230 1025
240 1023
250 975
260 999
270 991
280 980
290 992
300 976
310 972
320 973
330 970
340 940
350 968
360 1003
370 974
380 953
390 946
400 959
410 929
420 960
430 920
440 906
450 937
460 931
470 939
480 960
490 930
500 951
510 953
520 961
530 957
540 910
550 920
560 904
570 926
580 898
590 915
600 899
610 938
620 911
630 937
640 948
650 931
660 913
670 931
680 905
690 919
700 876
710 857
720 932
730 896
740 907
750 872
760 903
770 897
780 909
790 916
800 898
810 882
820 876
830 895
840 863
850 910
860 867
870 860
880 905
890 885
900 872
910 894
920 914
930 861
940 887
950 892
960 926
970 871
980 871
990 864
1000 884
1010 843
1020 894
1030 863
1040 858
1050 856
1060 875
1070 873
1080 915
1090 849
1100 890
1110 867
1120 891
1130 891
1140 864
1150 901
1160 878
1170 891
1180 904
1190 858
1200 897
1210 866
1220 895
1230 908
1240 856
1250 865
1260 907
1270 929
1280 875
1290 901
1300 888
1310 893
1320 879
1330 887
1340 895
1350 875
1360 908
1370 885
1380 884
1390 877
1400 895
1410 888
1420 897
1430 852
1440 858
1450 886
1460 850
1470 839
1480 854
1490 839
1500 885
1510 873
1520 865
1530 854
1540 832
1550 839
1560 859
1570 806
1580 830
1590 854
1600 849
1610 867
1620 842
1630 862
1640 858
1650 849
1660 796
1670 860
1680 861
1690 851
1700 837
1710 813
1720 858
1730 839
1740 858
1750 847
1760 854
1770 844
1780 817
1790 844
1800 837
1810 803
1820 907
1830 831
1840 846
1850 840
1860 837
1870 846
1880 839
1890 843
1900 858
1910 853
1920 880
1930 854
1940 878
1950 847
1960 856
1970 886
1980 855
1990 833
2000 844
2010 880
2020 886
2030 904
2040 853
2050 866
2060 860
2070 853
2080 888
2090 869
2100 849
2110 857
2120 901
2130 844
2140 860
2150 865
2160 869
2170 875
2180 880
2190 900
2200 866
2210 847
2220 830
2230 859
2240 840
2250 881
2260 871
2270 843
2280 820
2290 876
2300 865
2310 832
2320 856
2330 815
2340 809
2350 868
2360 897
2370 866
2380 872
2390 878
2400 881
2410 886
2420 861
2430 858
2440 878
2450 899
2460 825
2470 880
2480 884
2490 903
2500 885
2510 871
2520 840
2530 867
2540 852
2550 875
2560 877
2570 852
2580 835
2590 867
2600 832
2610 838
2620 889
2630 840
2640 832
2650 885
2660 834
2670 864
2680 841
2690 838
2700 827
2710 859
2720 867
2730 845
2740 884
2750 820
2760 825
2770 854
2780 878
2790 878
2800 861
