# Timestep MovingParticles
1 4920
50 583
100 539
150 535
200 577
250 510
300 544
350 524
400 548
450 509
500 523
550 541
600 551
650 553
700 548
750 482
800 531
850 514
900 460
950 556
1000 427
1050 479
1100 505
1150 479
1200 461
1250 470
1300 497
1350 476
1400 517
1450 485
1500 528
1550 483
1600 475
1650 506
1700 492
1750 527
1800 490
1850 440
1900 474
1950 547
2000 515
2050 509
2100 480
2150 487
2200 495
2250 440
2300 558
2350 453
2400 443
2450 499
2500 547
2550 492
2600 488
2650 479
2700 465
2750 493
2800 460
2850 502
2900 516
2950 546
3000 474
3050 521
3100 484
3150 485
3200 475
3250 458
3300 434
3350 491
3400 451
3450 407
3500 465
3550 528
3600 449
3650 460
3700 477
3750 476
3800 457
3850 472
3900 552
3950 485
4000 461
4050 418
4100 462
4150 511
4200 431
4250 491
4300 446
4350 431
4400 511
4450 469
4500 524
4550 418
4600 468
4650 427
4700 488
4750 450
4800 432
4850 463
4900 444
4950 429
5000 413
5050 494
5100 482
5150 472
5200 486
5250 453
5300 419
5350 379
5400 425
5450 402
5500 488
5550 423
5600 457
5650 525
5700 499
5750 516
5800 492
5850 433
5900 483
5950 477
6000 405
6050 494
6100 511
6150 399
6200 479
6250 463
6300 544
6350 511
6400 453
6450 447
6500 432
6550 409
6600 424
6650 507
6700 463
6750 499
6800 505
6850 419
6900 444
6950 449
7000 424
7050 426
7100 442
7150 422
7200 453
7250 460
7300 432
7350 444
7400 464
7450 448
7500 458
7550 459
7600 423
7650 448
7700 490
7750 403
7800 414
7850 450
7900 483
7950 432
8000 499
8050 505
8100 393
8150 458
8200 495
8250 433
8300 504
8350 422
8400 468
8450 445
8500 410
8550 526
8600 526
8650 448
8700 401
8750 429
8800 500
8850 417
8900 513
8950 454
9000 442
9050 467
9100 473
9150 441
9200 498
9250 461
9300 446
9350 489
9400 441
9450 452
9500 435
9550 504
9600 425
9650 452
9700 485
9750 476
9800 485
9850 470
9900 452
9950 422
10000 432
