# Timestep MovingParticles
1 4020
33 3811
66 3326
99 2983
132 2547
165 2120
198 1829
231 1663
264 1565
297 1630
330 1520
363 1451
396 1425
429 1397
462 1370
495 1419
528 1366
561 1385
594 1351
627 1381
660 1360
693 1303
726 1234
759 1299
792 1267
825 1350
858 1325
891 1253
924 1282
957 1284
990 1307
1023 1230
1056 1337
1089 1334
1122 1404
1155 1268
1188 1321
1221 1345
1254 1366
1287 1319
1320 1283
1353 1214
1386 1355
1419 1366
1452 1316
1485 1334
1518 1361
1551 1380
1584 1317
1617 1325
1650 1298
1683 1294
1716 1327
1749 1244
1782 1319
1815 1330
1848 1369
1881 1300
1914 1312
1947 1329
1980 1341
2013 1274
2046 1260
2079 1286
2112 1253
2145 1210
2178 1206
2211 1271
2244 1314
2277 1359
2310 1358
2343 1351
2376 1332
2409 1331
2442 1343
2475 1297
2508 1282
2541 1283
2574 1282
2607 1280
2640 1241
2673 1263
2706 1236
2739 1309
2772 1321
2805 1330
2838 1379
2871 1308
2904 1335
2937 1353
2970 1262
3003 1261
3036 1247
3069 1224
3102 1279
3135 1299
3168 1193
3201 1293
3234 1276
3267 1210
3300 1215
3333 1288
3366 1344
3399 1385
3432 1280
3465 1358
3498 1285
3531 1239
3564 1284
3597 1295
3630 1251
3663 1197
3696 1243
3729 1298
3762 1396
3795 1306
3828 1338
3861 1339
3894 1329
3927 1329
3960 1408
3993 1449
4026 1367
4059 1307
4092 1308
4125 1316
4158 1264
4191 1194
4224 1196
4257 1227
4290 1336
4323 1268
4356 1248
4389 1298
4422 1279
4455 1208
4488 1278
4521 1256
4554 1260
4587 1233
4620 1277
4653 1176
4686 1218
4719 1185
4752 1244
4785 1227
4818 1234
4851 1277
4884 1246
4917 1304
4950 1303
4983 1299
5016 1358
5049 1261
5082 1333
5115 1264
5148 1340
5181 1399
5214 1326
5247 1318
5280 1329
5313 1394
5346 1355
5379 1310
5412 1292
5445 1312
5478 1349
5511 1263
5544 1265
5577 1267
5610 1257
5643 1207
5676 1243
5709 1174
5742 1229
5775 1242
5808 1226
5841 1232
5874 1288
5907 1304
5940 1387
5973 1308
6006 1254
6039 1276
6072 1290
6105 1280
6138 1278
6171 1253
6204 1242
6237 1368
6270 1303
6303 1279
6336 1281
6369 1327
6402 1333
6435 1309
6468 1256
6501 1272
6534 1257
6567 1229
6600 1261
6633 1300
6666 1342
6699 1300
6732 1335
6765 1274
6798 1323
6831 1322
6864 1296
6897 1318
6930 1237
6963 1364
6996 1292
7029 1299
7062 1310
7095 1284
7128 1306
7161 1265
7194 1174
7227 1245
7260 1199
7293 1236
7326 1185
7359 1186
7392 1186
7425 1253
7458 1356
7491 1230
7524 1178
7557 1131
7590 1171
7623 1212
7656 1260
7689 1247
7722 1288
7755 1229
7788 1298
7821 1253
7854 1273
7887 1323
7920 1298
7953 1291
7986 1282
8019 1299
8052 1331
8085 1339
8118 1274
8151 1208
8184 1206
8217 1271
8250 1314
8283 1282
8316 1211
8349 1224
8382 1317
8415 1299
8448 1296
8481 1305
8514 1265
8547 1316
8580 1333
8613 1335
8646 1345
8679 1328
8712 1279
8745 1361
8778 1276
8811 1320
8844 1277
8877 1312
8910 1319
8943 1339
8976 1257
9009 1295
9042 1301
9075 1280
9108 1230
9141 1235
9174 1267
9207 1240
9240 1265
9273 1312
9306 1255
9339 1239
9372 1271
9405 1283
9438 1258
9471 1212
9504 1239
9537 1247
9570 1213
9603 1201
9636 1275
9669 1204
9702 1231
9735 1285
9768 1262
9801 1339
9834 1270
9867 1317
9900 1280
9933 1298
9966 1281
9999 1247
