# Timestep MovingParticles
1 3421
14 3270
28 3211
42 3185
56 3204
70 3201
84 3134
98 3208
112 3200
126 3156
140 3089
154 3055
168 3152
182 3109
196 2989
210 3009
224 3031
238 2911
252 3023
266 2992
280 2966
294 2968
308 2928
322 2955
336 2955
350 2949
364 2902
378 2917
392 2930
406 2879
420 2866
434 2865
448 2845
462 2771
476 2732
490 2819
504 2828
518 2855
532 2818
546 2911
560 2892
574 2839
588 2804
602 2834
616 2814
630 2893
644 2908
658 2831
672 2905
686 2894
700 2880
714 2824
728 2877
742 2949
756 2908
770 2991
784 2942
798 2978
812 2847
826 2878
840 2797
854 2874
868 2926
882 2853
896 2870
910 2817
924 2805
938 2889
952 2734
966 2813
980 2801
994 2805
1008 2784
1022 2766
1036 2699
1050 2733
1064 2826
1078 2781
1092 2798
1106 2767
1120 2737
1134 2808
1148 2695
1162 2714
1176 2791
1190 2772
1204 2723
1218 2781
1232 2793
1246 2795
1260 2762
1274 2771
1288 2795
1302 2712
1316 2800
1330 2680
1344 2794
1358 2809
1372 2780
1386 2805
1400 2799
1414 2798
1428 2754
1442 2789
1456 2789
1470 2705
1484 2734
1498 2667
1512 2709
1526 2775
1540 2789
1554 2708
1568 2824
1582 2727
1596 2770
1610 2760
1624 2747
1638 2712
1652 2767
1666 2726
1680 2829
1694 2725
1708 2765
1722 2764
1736 2756
1750 2771
1764 2823
1778 2744
1792 2829
1806 2693
1820 2751
1834 2642
1848 2736
1862 2744
1876 2747
1890 2784
1904 2712
1918 2801
1932 2844
1946 2728
1960 2690
1974 2729
1988 2684
2002 2672
2016 2758
2030 2789
2044 2698
2058 2684
2072 2756
2086 2711
2100 2729
2114 2694
2128 2806
2142 2639
2156 2711
2170 2622
2184 2758
2198 2686
2212 2667
2226 2656
2240 2719
2254 2762
2268 2731
2282 2688
2296 2726
2310 2762
2324 2666
2338 2645
2352 2739
2366 2712
2380 2683
2394 2604
2408 2735
2422 2732
2436 2724
2450 2738
2464 2682
2478 2677
2492 2694
2506 2770
2520 2702
2534 2723
2548 2658
2562 2642
2576 2636
2590 2661
2604 2707
2618 2691
2632 2709
2646 2704
2660 2617
2674 2623
2688 2696
2702 2691
2716 2590
2730 2654
2744 2697
2758 2642
2772 2728
2786 2622
2800 2696
2814 2684
2828 2727
2842 2724
2856 2682
2870 2735
2884 2703
2898 2735
2912 2705
2926 2725
2940 2744
2954 2676
2968 2683
2982 2708
2996 2622
3010 2734
3024 2632
3038 2625
3052 2573
3066 2664
3080 2617
3094 2623
3108 2731
3122 2682
3136 2671
3150 2664
3164 2663
3178 2683
3192 2588
3206 2706
3220 2601
3234 2646
3248 2699
3262 2581
3276 2672
3290 2696
3304 2720
3318 2713
3332 2592
3346 2702
3360 2655
3374 2594
3388 2705
3402 2642
3416 2653
3430 2682
3444 2589
3458 2667
3472 2658
3486 2566
3500 2622
3514 2597
3528 2609
3542 2554
3556 2586
3570 2641
3584 2578
3598 2631
3612 2542
3626 2648
3640 2632
3654 2657
3668 2653
3682 2572
3696 2608
3710 2618
3724 2603
3738 2627
3752 2700
3766 2634
3780 2635
3794 2612
3808 2670
3822 2656
3836 2541
3850 2580
3864 2674
3878 2536
3892 2552
3906 2623
3920 2642
3934 2499
3948 2545
3962 2582
3976 2578
3990 2639
4004 2596
4018 2603
4032 2606
4046 2557
4060 2526
4074 2678
4088 2612
4102 2545
4116 2605
4130 2586
4144 2643
4158 2561
4172 2643
4186 2497
4200 2655
4214 2601
4228 2564
4242 2615
4256 2593
4270 2579
4284 2550
4298 2575
4312 2589
4326 2561
4340 2669
4354 2628
4368 2645
4382 2554
4396 2564
4410 2542
4424 2609
4438 2609
4452 2581
4466 2635
4480 2614
4494 2575
4508 2528
4522 2579
4536 2616
4550 2585
4564 2508
4578 2542
4592 2473
4606 2556
4620 2568
4634 2524
4648 2499
4662 2633
4676 2534
4690 2588
4704 2484
4718 2562
4732 2521
4746 2544
4760 2536
4774 2447
4788 2528
4802 2455
4816 2500
4830 2529
4844 2563
4858 2583
4872 2568
4886 2544
4900 2467
4914 2521
4928 2429
4942 2441
4956 2502
4970 2551
4984 2601
4998 2438
5012 2470
5026 2471
5040 2517
5054 2476
5068 2461
5082 2537
5096 2458
5110 2502
5124 2519
5138 2431
5152 2516
5166 2459
5180 2464
5194 2509
5208 2464
5222 2514
5236 2483
5250 2504
5264 2536
5278 2612
5292 2517
5306 2459
5320 2469
5334 2533
5348 2541
5362 2462
5376 2508
5390 2564
5404 2491
5418 2513
5432 2460
5446 2485
5460 2612
5474 2534
5488 2568
5502 2548
5516 2469
5530 2474
5544 2489
5558 2428
5572 2525
5586 2500
5600 2498
5614 2477
5628 2485
5642 2435
5656 2424
5670 2391
5684 2542
5698 2484
5712 2483
5726 2490
5740 2445
5754 2529
5768 2488
5782 2509
5796 2495
5810 2531
5824 2522
5838 2433
5852 2497
5866 2537
5880 2504
5894 2504
5908 2530
5922 2429
5936 2492
5950 2485
5964 2504
5978 2531
5992 2586
6006 2568
6020 2511
6034 2508
6048 2514
6062 2513
6076 2545
6090 2538
6104 2489
6118 2557
6132 2527
6146 2557
6160 2472
6174 2524
6188 2501
6202 2467
6216 2433
6230 2569
6244 2512
6258 2524
6272 2496
6286 2423
6300 2486
6314 2464
6328 2498
6342 2460
6356 2520
6370 2409
6384 2470
6398 2449
6412 2459
6426 2537
6440 2519
6454 2485
6468 2511
6482 2471
6496 2511
6510 2500
6524 2541
6538 2513
6552 2411
6566 2420
6580 2451
6594 2491
6608 2538
6622 2482
6636 2434
6650 2466
6664 2453
6678 2457
6692 2413
6706 2437
6720 2534
6734 2510
6748 2468
6762 2449
6776 2445
6790 2464
6804 2439
6818 2511
6832 2530
6846 2494
6860 2450
6874 2458
6888 2431
6902 2478
6916 2452
6930 2458
6944 2496
6958 2412
6972 2495
6986 2454
7000 2401
7014 2477
7028 2438
7042 2487
7056 2608
7070 2473
7084 2473
7098 2482
7112 2498
7126 2488
7140 2501
7154 2478
7168 2486
7182 2523
7196 2510
7210 2483
7224 2483
7238 2440
7252 2468
7266 2440
7280 2431
7294 2415
7308 2453
7322 2422
7336 2533
7350 2515
7364 2441
7378 2405
7392 2347
7406 2444
7420 2437
7434 2374
7448 2477
7462 2485
7476 2448
7490 2378
7504 2440
7518 2396
7532 2420
7546 2367
7560 2428
7574 2398
7588 2382
7602 2375
7616 2469
7630 2398
7644 2387
7658 2286
7672 2448
7686 2444
7700 2392
7714 2374
7728 2410
7742 2340
7756 2414
7770 2430
7784 2409
7798 2436
7812 2446
7826 2370
7840 2348
7854 2413
7868 2370
7882 2398
7896 2359
7910 2425
7924 2425
7938 2447
7952 2463
7966 2379
7980 2451
7994 2426
8008 2389
8022 2379
8036 2390
8050 2367
8064 2355
8078 2387
8092 2357
8106 2352
8120 2444
8134 2398
8148 2399
8162 2464
8176 2452
8190 2404
8204 2448
8218 2420
8232 2444
8246 2418
8260 2482
8274 2352
8288 2349
8302 2369
8316 2408
8330 2339
8344 2383
8358 2476
8372 2456
8386 2423
8400 2369
8414 2371
8428 2380
8442 2427
8456 2508
8470 2427
8484 2427
8498 2462
8512 2455
8526 2382
8540 2520
8554 2421
8568 2409
8582 2336
8596 2394
8610 2452
8624 2486
8638 2373
8652 2387
8666 2459
8680 2400
8694 2416
8708 2451
8722 2458
8736 2437
8750 2380
8764 2449
8778 2405
8792 2433
8806 2444
8820 2372
8834 2423
8848 2454
8862 2420
8876 2357
8890 2419
8904 2475
8918 2422
8932 2408
8946 2390
8960 2371
8974 2364
8988 2333
9002 2459
9016 2349
9030 2344
9044 2376
9058 2328
9072 2388
9086 2385
9100 2356
9114 2359
9128 2389
9142 2390
9156 2353
9170 2367
9184 2387
9198 2321
9212 2386
9226 2381
9240 2350
9254 2445
9268 2377
9282 2434
9296 2427
9310 2330
9324 2378
9338 2388
9352 2401
9366 2395
9380 2425
9394 2349
9408 2344
9422 2366
9436 2406
9450 2355
9464 2387
9478 2427
9492 2400
9506 2394
9520 2427
9534 2401
9548 2447
9562 2383
9576 2401
9590 2481
9604 2366
9618 2461
9632 2339
9646 2404
9660 2427
9674 2385
9688 2361
9702 2350
9716 2397
9730 2417
9744 2386
9758 2363
9772 2445
9786 2394
9800 2339
9814 2376
9828 2382
9842 2417
9856 2402
9870 2389
9884 2378
9898 2409
9912 2431
9926 2426
9940 2363
9954 2404
9968 2410
9982 2409
9996 2441
