# Timestep MovingParticles
1 4054
33 3285
66 2146
99 1675
132 1476
165 1351
198 1365
231 1381
264 1322
297 1336
330 1230
363 1267
396 1281
429 1326
462 1254
495 1254
528 1247
561 1295
594 1234
627 1159
660 1315
693 1216
726 1242
759 1265
792 1294
825 1256
858 1364
891 1195
924 1249
957 1235
990 1199
1023 1212
1056 1271
1089 1244
1122 1301
1155 1188
1188 1062
1221 1126
1254 1195
1287 1270
1320 1264
1353 1189
1386 1195
1419 1136
1452 1226
1485 1197
1518 1152
1551 1224
1584 1219
1617 1207
1650 1175
1683 1233
1716 1218
1749 1197
1782 1164
1815 1264
1848 1211
1881 1296
1914 1167
1947 1125
1980 1190
2013 1161
2046 1114
2079 1204
2112 1142
2145 1196
2178 1175
2211 1247
2244 1226
2277 1254
2310 1204
2343 1177
2376 1158
2409 1170
2442 1221
2475 1207
2508 1195
2541 1185
2574 1211
2607 1087
2640 1144
2673 1168
2706 1146
2739 1187
2772 1127
2805 1170
2838 1220
2871 1151
2904 1177
2937 1264
2970 1284
3003 1243
3036 1089
3069 1130
3102 1194
3135 1166
3168 1182
3201 1148
3234 1111
3267 1156
3300 1164
3333 1256
3366 1203
3399 1279
3432 1203
3465 1180
3498 1141
3531 1176
3564 1181
3597 1187
3630 1168
3663 1112
3696 1193
3729 1175
3762 1157
3795 1172
3828 1128
3861 1139
3894 1195
3927 1196
3960 1122
3993 1219
4026 1113
4059 1134
4092 1186
4125 1161
4158 1161
4191 1161
4224 1151
4257 1224
4290 1200
4323 1177
4356 1200
4389 1216
4422 1134
4455 1118
4488 1117
4521 1112
4554 1110
4587 1107
4620 1177
4653 1186
4686 1213
4719 1237
4752 1169
4785 1151
4818 1145
4851 1202
4884 1222
4917 1178
4950 1190
4983 1190
5016 1199
5049 1203
5082 1263
5115 1187
5148 1259
5181 1246
5214 1215
5247 1116
5280 1165
5313 1127
5346 1135
5379 1128
5412 1178
5445 1108
5478 1156
5511 1182
5544 1178
5577 1215
5610 1174
5643 1212
5676 1242
5709 1219
5742 1104
5775 1148
5808 1071
5841 1067
5874 1059
5907 1152
5940 1194
5973 1233
6006 1125
6039 1142
6072 1210
6105 1109
6138 1148
6171 1134
6204 1143
6237 1062
6270 1100
6303 1090
6336 1123
6369 1088
6402 1148
6435 1201
6468 1129
6501 1117
6534 1120
6567 1192
6600 1187
6633 1182
6666 1216
6699 1186
6732 1156
6765 1184
6798 1162
6831 1259
6864 1178
6897 1174
6930 1208
6963 1170
6996 1203
7029 1206
7062 1143
7095 1171
7128 1164
7161 1146
7194 1121
7227 1102
7260 1031
7293 1167
7326 1096
7359 1122
7392 1122
7425 1082
7458 1132
7491 1114
7524 1164
7557 1181
7590 1160
7623 1136
7656 1126
7689 1183
7722 1164
7755 1140
7788 1074
7821 1106
7854 1117
7887 1155
7920 1089
7953 1095
7986 1082
8019 1112
8052 1108
8085 1118
8118 1040
8151 1123
8184 1135
8217 1145
8250 1159
8283 1090
8316 1121
8349 1128
8382 1146
8415 1117
8448 1074
8481 1103
8514 1136
8547 1154
8580 1105
8613 1165
8646 1188
8679 1159
8712 1139
8745 1183
8778 1085
8811 1108
8844 1129
8877 1117
8910 1095
8943 1151
8976 1083
9009 1106
9042 1158
9075 1079
9108 1146
9141 1163
9174 1202
9207 1141
9240 1142
9273 1157
9306 1189
9339 1201
9372 1198
9405 1164
9438 1138
9471 1148
9504 1173
9537 1215
9570 1208
9603 1227
9636 1186
9669 1204
9702 1238
9735 1178
9768 1140
9801 1187
9834 1139
9867 1105
9900 1133
9933 1140
9966 1170
9999 1168
