# Timestep MovingParticles
1 2764
14 2693
28 2668
42 2677
56 2700
70 2570
84 2660
98 2702
112 2689
126 2694
140 2714
154 2651
168 2690
182 2659
196 2698
210 2705
224 2682
238 2623
252 2643
266 2666
280 2660
294 2610
308 2649
322 2713
336 2638
350 2615
364 2632
378 2694
392 2646
406 2663
420 2666
434 2716
448 2703
462 2667
476 2694
490 2721
504 2774
518 2699
532 2745
546 2695
560 2655
574 2656
588 2660
602 2641
616 2616
630 2699
644 2624
658 2662
672 2682
686 2678
700 2634
714 2637
728 2644
742 2639
756 2651
770 2732
784 2688
798 2684
812 2723
826 2702
840 2674
854 2697
868 2599
882 2693
896 2613
910 2676
924 2710
938 2655
952 2640
966 2650
980 2687
994 2606
1008 2657
1022 2605
1036 2725
1050 2682
1064 2628
1078 2681
1092 2671
1106 2716
1120 2722
1134 2691
1148 2645
1162 2677
1176 2682
1190 2738
1204 2714
1218 2602
1232 2728
1246 2697
1260 2726
1274 2650
1288 2689
1302 2754
1316 2673
1330 2684
1344 2660
1358 2680
1372 2719
1386 2662
1400 2628
1414 2653
1428 2687
1442 2639
1456 2661
1470 2664
1484 2712
1498 2655
1512 2710
1526 2674
1540 2714
1554 2696
1568 2673
1582 2633
1596 2722
1610 2615
1624 2665
1638 2641
1652 2617
1666 2739
1680 2682
1694 2680
1708 2668
1722 2627
1736 2690
1750 2596
1764 2694
1778 2701
1792 2686
1806 2679
1820 2714
1834 2686
1848 2709
1862 2649
1876 2769
1890 2654
1904 2686
1918 2694
1932 2608
1946 2687
1960 2638
1974 2736
1988 2709
2002 2779
2016 2804
2030 2598
2044 2630
2058 2679
2072 2644
2086 2663
2100 2645
2114 2681
2128 2562
2142 2655
2156 2673
2170 2619
2184 2595
2198 2676
2212 2670
2226 2677
2240 2645
2254 2660
2268 2709
2282 2697
2296 2663
2310 2625
2324 2655
2338 2639
2352 2759
2366 2681
2380 2607
2394 2652
2408 2695
2422 2656
2436 2671
2450 2724
2464 2690
2478 2665
2492 2716
2506 2694
2520 2648
2534 2719
2548 2713
2562 2655
2576 2661
2590 2632
2604 2707
2618 2713
2632 2698
2646 2653
2660 2635
2674 2613
2688 2736
2702 2648
2716 2642
2730 2649
2744 2596
2758 2661
2772 2711
2786 2653
2800 2687
2814 2739
2828 2700
2842 2617
2856 2654
2870 2685
2884 2632
2898 2679
2912 2633
2926 2685
2940 2660
2954 2677
2968 2724
2982 2667
2996 2719
3010 2721
3024 2629
3038 2617
3052 2680
3066 2707
3080 2705
3094 2721
3108 2691
3122 2655
3136 2702
3150 2672
3164 2610
3178 2612
3192 2658
3206 2727
3220 2683
3234 2696
3248 2695
3262 2744
3276 2653
3290 2679
3304 2650
3318 2631
3332 2674
3346 2722
3360 2673
3374 2620
3388 2713
3402 2662
3416 2638
3430 2651
3444 2695
3458 2690
3472 2636
3486 2610
3500 2612
3514 2662
3528 2677
3542 2674
3556 2676
3570 2669
3584 2653
3598 2708
3612 2617
3626 2624
3640 2660
3654 2673
3668 2737
3682 2686
3696 2666
3710 2678
3724 2685
3738 2655
3752 2670
3766 2750
3780 2659
3794 2671
3808 2682
3822 2635
3836 2666
3850 2650
3864 2628
3878 2614
3892 2652
3906 2624
3920 2684
3934 2717
3948 2709
3962 2720
3976 2640
3990 2667
4004 2712
4018 2668
4032 2702
4046 2569
4060 2693
4074 2586
4088 2708
4102 2664
4116 2747
4130 2693
4144 2716
4158 2685
4172 2685
4186 2670
4200 2699
4214 2641
4228 2742
4242 2689
4256 2706
4270 2705
4284 2701
4298 2656
4312 2677
4326 2662
4340 2733
4354 2722
4368 2691
4382 2689
4396 2625
4410 2733
4424 2699
4438 2647
4452 2731
4466 2648
4480 2721
4494 2696
4508 2669
4522 2730
4536 2672
4550 2672
4564 2648
4578 2677
4592 2722
4606 2678
4620 2718
4634 2692
4648 2651
4662 2743
4676 2579
4690 2623
4704 2703
4718 2650
4732 2702
4746 2696
4760 2717
4774 2636
4788 2689
4802 2563
4816 2658
4830 2628
4844 2684
4858 2678
4872 2683
4886 2653
4900 2652
4914 2688
4928 2725
4942 2665
4956 2635
4970 2604
4984 2671
4998 2681
