# Timestep MovingParticles
1 3294
9 3206
18 3188
27 3107
36 3077
45 3106
54 3155
63 3057
72 3069
81 3057
90 2998
99 2994
108 2926
117 2988
126 2856
135 2812
144 2721
153 2740
162 2652
171 2615
180 2538
189 2582
198 2538
207 2483
216 2441
225 2439
234 2342
243 2295
252 2244
261 2250
270 2113
279 2223
288 2072
297 2061
306 1987
315 1928
324 1935
333 1830
342 1769
351 1746
360 1744
369 1767
378 1707
387 1595
396 1614
405 1535
414 1560
423 1453
432 1447
441 1394
450 1405
459 1344
468 1334
477 1368
486 1222
495 1241
504 1195
513 1206
522 1135
531 1083
540 1083
549 1056
558 1017
567 990
576 986
585 959
594 923
603 979
612 931
621 911
630 843
639 809
648 812
657 783
666 741
675 718
684 728
693 755
702 690
711 689
720 651
729 652
738 658
747 625
756 634
765 590
774 569
783 591
792 574
801 550
810 562
819 538
828 519
837 539
846 533
855 490
864 514
873 494
882 465
891 473
900 474
909 447
918 450
927 443
936 450
945 420
954 445
963 422
972 403
981 405
990 401
999 385
1008 414
1017 396
1026 378
1035 343
1044 370
1053 313
1062 327
1071 347
1080 338
1089 318
1098 345
1107 343
1116 366
1125 325
1134 313
1143 335
1152 349
1161 342
1170 320
1179 311
1188 337
1197 324
1206 304
1215 299
1224 297
1233 291
1242 310
1251 304
1260 262
1269 275
1278 241
1287 282
1296 281
1305 262
1314 266
1323 262
1332 244
1341 272
1350 267
1359 280
1368 236
1377 244
1386 245
1395 268
1404 251
1413 274
1422 269
1431 265
1440 247
1449 249
1458 264
1467 234
1476 236
1485 249
1494 244
1503 252
1512 254
1521 250
1530 217
1539 239
1548 254
1557 265
1566 250
1575 255
1584 242
1593 262
1602 232
1611 240
1620 253
1629 204
1638 219
1647 244
1656 248
1665 251
1674 257
1683 241
1692 246
1701 212
1710 229
1719 228
1728 240
1737 272
1746 240
1755 260
1764 232
1773 282
1782 271
1791 301
1800 290
1809 266
1818 271
1827 251
1836 257
1845 262
1854 239
1863 253
1872 258
1881 252
1890 252
1899 247
1908 256
1917 250
1926 239
1935 268
1944 232
1953 254
1962 236
1971 213
1980 245
1989 188
1998 205
2007 242
2016 199
2025 229
2034 245
2043 233
2052 217
2061 208
2070 192
2079 222
2088 224
2097 254
2106 255
2115 245
2124 267
2133 258
2142 235
2151 239
2160 227
2169 243
2178 262
2187 239
2196 234
2205 240
2214 210
2223 233
2232 234
2241 239
2250 198
2259 224
2268 218
2277 226
2286 222
2295 200
2304 211
2313 227
2322 227
2331 215
2340 245
2349 230
2358 225
2367 228
2376 242
2385 251
2394 246
2403 241
2412 229
2421 249
2430 242
2439 236
2448 227
2457 238
2466 214
2475 248
2484 226
2493 229
2502 212
2511 232
2520 209
2529 226
2538 211
2547 216
2556 223
2565 201
2574 209
2583 234
2592 219
2601 229
2610 234
2619 230
2628 241
2637 254
2646 222
2655 218
2664 242
2673 227
2682 241
2691 218
2700 220
2709 225
2718 227
2727 246
2736 214
2745 200
2754 213
2763 229
2772 221
2781 230
2790 232
2799 242
2808 251
2817 255
2826 236
2835 225
2844 220
2853 229
2862 246
2871 213
2880 252
2889 216
2898 223
2907 217
2916 189
2925 237
2934 223
2943 234
2952 243
2961 248
2970 244
2979 244
2988 270
2997 232
3006 239
3015 225
3024 228
3033 246
3042 221
3051 241
3060 216
3069 231
3078 243
3087 217
3096 243
3105 233
3114 222
3123 249
3132 255
3141 253
3150 232
3159 258
3168 219
3177 206
3186 228
3195 242
3204 248
3213 240
3222 231
3231 212
3240 227
3249 239
3258 262
3267 246
3276 244
3285 261
3294 246
3303 254
3312 233
3321 224
3330 246
3339 243
3348 245
3357 258
3366 233
3375 243
3384 264
3393 234
3402 240
3411 259
3420 206
3429 214
3438 209
3447 245
3456 220
3465 242
3474 237
3483 240
3492 205
3501 233
3510 226
3519 212
3528 234
3537 200
3546 242
3555 241
3564 230
3573 220
3582 229
3591 205
3600 231
3609 218
3618 236
3627 216
3636 215
3645 244
3654 221
3663 234
3672 213
3681 261
3690 249
3699 257
3708 215
3717 217
3726 240
3735 223
3744 220
3753 251
3762 214
3771 218
3780 244
3789 235
3798 226
3807 218
3816 241
